Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
AUT1,28/07/2023,LASK,Rapid Wien,1,1,0.0,1.0,D
AUT1,29/07/2023,TSV Hartberg,Austria Lustenau,2,2,1.0,0.0,D
AUT1,29/07/2023,WSG Tirol,SK Austria Klagenfurt,1,3,0.0,1.0,A
AUT1,29/07/2023,SCR Altach,RB Salzburg,0,2,0.0,1.0,A
AUT1,29/07/2023,Wolfsberger AC,FC Blau Weiß Linz,2,1,1.0,0.0,H
AUT1,30/07/2023,Austria Wien,Sturm Graz,0,3,0.0,2.0,A
AUT1,05/08/2023,Rapid Wien,SCR Altach,4,0,2.0,0.0,H
AUT1,05/08/2023,Sturm Graz,LASK,2,0,1.0,0.0,H
AUT1,06/08/2023,Austria Lustenau,Austria Wien,0,2,0.0,1.0,A
AUT1,06/08/2023,FC Blau Weiß Linz,TSV Hartberg,3,3,1.0,2.0,D
AUT1,06/08/2023,RB Salzburg,WSG Tirol,3,0,0.0,0.0,H
AUT1,09/08/2023,SK Austria Klagenfurt,Wolfsberger AC,2,2,1.0,0.0,D
AUT1,12/08/2023,Sturm Graz,SK Austria Klagenfurt,0,0,,,D
AUT1,12/08/2023,Wolfsberger AC,Austria Lustenau,1,1,0.0,0.0,D
AUT1,12/08/2023,LASK,FC Blau Weiß Linz,2,0,1.0,0.0,H
AUT1,13/08/2023,Rapid Wien,TSV Hartberg,0,1,0.0,0.0,A
AUT1,13/08/2023,SCR Altach,WSG Tirol,1,0,0.0,0.0,H
AUT1,13/08/2023,RB Salzburg,Austria Wien,2,0,0.0,0.0,H
AUT1,19/08/2023,SK Austria Klagenfurt,SCR Altach,1,1,0.0,0.0,D
AUT1,19/08/2023,Austria Lustenau,Sturm Graz,0,1,0.0,1.0,A
AUT1,19/08/2023,WSG Tirol,LASK,1,1,1.0,0.0,D
AUT1,20/08/2023,FC Blau Weiß Linz,Rapid Wien,0,5,0.0,2.0,A
AUT1,20/08/2023,TSV Hartberg,RB Salzburg,1,5,1.0,1.0,A
AUT1,20/08/2023,Austria Wien,Wolfsberger AC,0,0,,,D
AUT1,26/08/2023,Sturm Graz,FC Blau Weiß Linz,4,1,2.0,0.0,H
AUT1,26/08/2023,Wolfsberger AC,RB Salzburg,1,2,1.0,0.0,A
AUT1,26/08/2023,Austria Lustenau,SCR Altach,0,3,0.0,2.0,A
AUT1,27/08/2023,TSV Hartberg,SK Austria Klagenfurt,0,3,0.0,1.0,A
AUT1,27/08/2023,LASK,Austria Wien,2,0,1.0,0.0,H
AUT1,27/08/2023,Rapid Wien,WSG Tirol,1,1,0.0,1.0,D
AUT1,02/09/2023,Wolfsberger AC,TSV Hartberg,0,3,0.0,1.0,A
AUT1,02/09/2023,WSG Tirol,FC Blau Weiß Linz,2,4,1.0,2.0,A
AUT1,02/09/2023,SCR Altach,Sturm Graz,1,2,0.0,0.0,A
AUT1,03/09/2023,LASK,Austria Lustenau,2,0,0.0,0.0,H
AUT1,03/09/2023,Austria Wien,SK Austria Klagenfurt,2,2,1.0,1.0,D
AUT1,03/09/2023,RB Salzburg,Rapid Wien,2,0,2.0,0.0,H
AUT1,16/09/2023,Sturm Graz,RB Salzburg,2,2,0.0,1.0,D
AUT1,16/09/2023,SK Austria Klagenfurt,LASK,1,3,0.0,3.0,A
AUT1,16/09/2023,FC Blau Weiß Linz,SCR Altach,1,1,1.0,1.0,D
AUT1,17/09/2023,Austria Lustenau,WSG Tirol,2,3,0.0,2.0,A
AUT1,17/09/2023,TSV Hartberg,Austria Wien,2,1,1.0,1.0,H
AUT1,17/09/2023,Rapid Wien,Wolfsberger AC,3,3,2.0,0.0,D
AUT1,23/09/2023,RB Salzburg,FC Blau Weiß Linz,0,1,0.0,0.0,A
AUT1,23/09/2023,SK Austria Klagenfurt,Austria Lustenau,1,0,1.0,0.0,H
AUT1,23/09/2023,WSG Tirol,Wolfsberger AC,2,3,0.0,1.0,A
AUT1,24/09/2023,SCR Altach,Austria Wien,2,1,2.0,1.0,H
AUT1,24/09/2023,Rapid Wien,Sturm Graz,1,1,1.0,1.0,D
AUT1,24/09/2023,LASK,TSV Hartberg,0,0,,,D
AUT1,30/09/2023,Austria Lustenau,RB Salzburg,0,4,0.0,3.0,A
AUT1,30/09/2023,FC Blau Weiß Linz,SK Austria Klagenfurt,0,0,,,D
AUT1,30/09/2023,Wolfsberger AC,LASK,2,1,2.0,0.0,H
AUT1,01/10/2023,TSV Hartberg,SCR Altach,0,0,,,D
AUT1,01/10/2023,Austria Wien,Rapid Wien,0,0,,,D
AUT1,01/10/2023,Sturm Graz,WSG Tirol,1,0,1.0,0.0,H
AUT1,07/10/2023,Austria Wien,FC Blau Weiß Linz,4,0,2.0,0.0,H
AUT1,07/10/2023,Austria Lustenau,Rapid Wien,0,5,0.0,3.0,A
AUT1,07/10/2023,TSV Hartberg,WSG Tirol,3,0,0.0,0.0,H
AUT1,08/10/2023,LASK,SCR Altach,1,0,0.0,0.0,H
