Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
CZE1,22/07/2023,FK Pardubice,Bohemians Praha 1905,0,1,0.0,1.0,A
CZE1,22/07/2023,FK Teplice,Viktoria Plzeň,1,0,1.0,0.0,H
CZE1,22/07/2023,MFK Karviná,FC Zlín,4,1,3.0,0.0,H
CZE1,22/07/2023,Slavia Praha,FC Hradec Králové,2,0,1.0,0.0,H
CZE1,23/07/2023,1. FC Slovácko,Dynamo České Budějovice,4,1,2.0,0.0,H
CZE1,23/07/2023,FK Mladá Boleslav,FK Jablonec,3,1,1.0,0.0,H
CZE1,23/07/2023,Slovan Liberec,Baník Ostrava,3,1,2.0,0.0,H
CZE1,23/07/2023,AC Sparta Praha,Sigma Olomouc,2,0,1.0,0.0,H
CZE1,29/07/2023,Baník Ostrava,1. FC Slovácko,0,0,,,D
CZE1,29/07/2023,Sigma Olomouc,MFK Karviná,3,1,2.0,1.0,H
CZE1,29/07/2023,FC Zlín,AC Sparta Praha,0,1,0.0,0.0,A
CZE1,29/07/2023,FK Pardubice,FK Jablonec,0,0,,,D
CZE1,30/07/2023,Viktoria Plzeň,FC Hradec Králové,1,1,0.0,0.0,D
CZE1,30/07/2023,Bohemians Praha 1905,FK Teplice,1,2,0.0,1.0,A
CZE1,30/07/2023,Dynamo České Budějovice,Slavia Praha,1,3,0.0,1.0,A
CZE1,30/07/2023,FK Mladá Boleslav,Slovan Liberec,2,2,0.0,2.0,D
CZE1,05/08/2023,FC Hradec Králové,Dynamo České Budějovice,5,1,3.0,0.0,H
CZE1,05/08/2023,AC Sparta Praha,FK Pardubice,5,2,3.0,0.0,H
CZE1,05/08/2023,1. FC Slovácko,Sigma Olomouc,0,2,0.0,1.0,A
CZE1,05/08/2023,MFK Karviná,FK Mladá Boleslav,1,2,0.0,2.0,A
CZE1,06/08/2023,FK Teplice,FK Jablonec,0,0,,,D
CZE1,06/08/2023,Slovan Liberec,Bohemians Praha 1905,0,1,0.0,0.0,A
CZE1,06/08/2023,Viktoria Plzeň,Baník Ostrava,3,1,2.0,1.0,H
CZE1,06/08/2023,Slavia Praha,FC Zlín,2,1,0.0,0.0,H
CZE1,12/08/2023,Baník Ostrava,FC Hradec Králové,2,0,0.0,0.0,H
CZE1,12/08/2023,FC Zlín,Slovan Liberec,1,1,1.0,1.0,D
CZE1,12/08/2023,FK Jablonec,AC Sparta Praha,1,5,0.0,5.0,A
CZE1,13/08/2023,Bohemians Praha 1905,1. FC Slovácko,0,1,0.0,1.0,A
CZE1,13/08/2023,FK Mladá Boleslav,Slavia Praha,0,1,0.0,0.0,A
CZE1,13/08/2023,FK Pardubice,MFK Karviná,2,1,1.0,0.0,H
CZE1,13/08/2023,Sigma Olomouc,FK Teplice,2,1,0.0,0.0,H
CZE1,13/08/2023,Dynamo České Budějovice,Viktoria Plzeň,2,5,1.0,2.0,A
CZE1,19/08/2023,Slovan Liberec,FK Pardubice,1,0,1.0,0.0,H
CZE1,19/08/2023,FK Teplice,AC Sparta Praha,1,1,0.0,1.0,D
CZE1,19/08/2023,1. FC Slovácko,FK Mladá Boleslav,2,2,1.0,1.0,D
CZE1,19/08/2023,MFK Karviná,FK Jablonec,1,1,0.0,0.0,D
CZE1,20/08/2023,Slavia Praha,Baník Ostrava,1,0,0.0,0.0,H
CZE1,20/08/2023,Viktoria Plzeň,Sigma Olomouc,2,1,2.0,1.0,H
CZE1,20/08/2023,FC Hradec Králové,FC Zlín,2,0,1.0,0.0,H
CZE1,20/08/2023,Dynamo České Budějovice,Bohemians Praha 1905,3,0,1.0,0.0,H
CZE1,26/08/2023,FC Zlín,FK Teplice,2,1,0.0,0.0,H
CZE1,26/08/2023,FK Pardubice,1. FC Slovácko,0,1,0.0,1.0,A
CZE1,26/08/2023,Baník Ostrava,Dynamo České Budějovice,2,0,0.0,0.0,H
CZE1,27/08/2023,Bohemians Praha 1905,FC Hradec Králové,2,1,1.0,0.0,H
CZE1,27/08/2023,FK Jablonec,Slavia Praha,1,1,1.0,0.0,D
