Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
DZ1,15/09/2023,USM Khenchela,ES Sétif,1,0,0.0,0.0,H
DZ1,15/09/2023,MC El Bayadh,CS Constantine,1,0,1.0,0.0,H
DZ1,15/09/2023,ASO Chlef,MC Oran,2,0,0.0,0.0,H
DZ1,16/09/2023,NC Magra,JS Kabylie,0,1,0.0,1.0,A
DZ1,16/09/2023,MC Alger,ES Ben Aknoun,4,0,2.0,0.0,H
DZ1,17/09/2023,JS Saoura,US Biskra,1,0,1.0,0.0,H
DZ1,22/09/2023,ES Ben Aknoun,ASO Chlef,2,2,1.0,1.0,D
DZ1,22/09/2023,CS Constantine,MC Alger,2,1,1.0,1.0,H
DZ1,22/09/2023,JS Kabylie,Paradou AC,0,0,,,D
DZ1,23/09/2023,CR Bélouizdad,NC Magra,1,0,0.0,0.0,H
DZ1,23/09/2023,US Biskra,US Souf,3,1,3.0,1.0,H
DZ1,23/09/2023,MC Oran,JS Saoura,1,1,1.0,1.0,D
DZ1,23/09/2023,ES Sétif,MC El Bayadh,2,1,0.0,0.0,H
DZ1,27/09/2023,Paradou AC,USM Alger,1,0,0.0,0.0,H
DZ1,29/09/2023,US Souf,MC Oran,0,0,,,D
DZ1,29/09/2023,USM Khenchela,JS Kabylie,2,1,0.0,0.0,H
DZ1,29/09/2023,NC Magra,US Biskra,2,1,0.0,1.0,H
DZ1,30/09/2023,MC Alger,MC El Bayadh,2,0,1.0,0.0,H
DZ1,30/09/2023,JS Saoura,ES Ben Aknoun,1,0,0.0,0.0,H
DZ1,30/09/2023,ASO Chlef,CS Constantine,1,0,1.0,0.0,H
DZ1,06/10/2023,MC Oran,NC Magra,0,0,,,D
DZ1,06/10/2023,MC Alger,ES Sétif,5,3,2.0,2.0,H
DZ1,06/10/2023,CS Constantine,JS Saoura,3,0,2.0,0.0,H
DZ1,06/10/2023,US Biskra,Paradou AC,0,5,0.0,3.0,A
DZ1,07/10/2023,JS Kabylie,USM Alger,1,0,0.0,0.0,H
DZ1,07/10/2023,MC El Bayadh,ASO Chlef,1,0,1.0,0.0,H
DZ1,07/10/2023,ES Ben Aknoun,US Souf,0,1,0.0,1.0,A
DZ1,07/10/2023,CR Bélouizdad,USM Khenchela,2,3,2.0,2.0,A
DZ1,13/10/2023,US Souf,CR Bélouizdad,0,3,0.0,3.0,A
DZ1,14/10/2023,USM Alger,USM Khenchela,3,0,0.0,0.0,H
DZ1,10/11/2023,Paradou AC,MC Oran,1,0,1.0,0.0,H
DZ1,10/11/2023,US Souf,CS Constantine,3,4,1.0,1.0,A
DZ1,10/11/2023,ES Sétif,JS Kabylie,1,0,0.0,0.0,H
DZ1,10/11/2023,USM Alger,CR Bélouizdad,2,1,0.0,0.0,H
DZ1,11/11/2023,ASO Chlef,MC Alger,0,1,0.0,1.0,A
DZ1,11/11/2023,JS Saoura,MC El Bayadh,0,0,,,D
DZ1,11/11/2023,USM Khenchela,US Biskra,0,1,0.0,0.0,A
DZ1,11/11/2023,NC Magra,ES Ben Aknoun,3,1,1.0,1.0,H
DZ1,14/11/2023,Paradou AC,CR Bélouizdad,0,1,0.0,1.0,A
DZ1,14/11/2023,ES Sétif,USM Alger,2,1,1.0,1.0,H
DZ1,17/11/2023,MC Alger,JS Saoura,4,0,1.0,0.0,H
DZ1,17/11/2023,CS Constantine,NC Magra,0,1,0.0,0.0,A
DZ1,17/11/2023,MC El Bayadh,US Souf,4,0,1.0,0.0,H
DZ1,17/11/2023,MC Oran,USM Khenchela,1,0,1.0,0.0,H
DZ1,18/11/2023,US Biskra,USM Alger,1,0,1.0,0.0,H
DZ1,18/11/2023,ES Ben Aknoun,Paradou AC,0,1,0.0,0.0,A
DZ1,18/11/2023,ASO Chlef,ES Sétif,2,1,1.0,1.0,H
DZ1,19/11/2023,CR Bélouizdad,JS Kabylie,1,0,0.0,0.0,H
DZ1,24/11/2023,Paradou AC,CS Constantine,0,0,,,D
DZ1,24/11/2023,NC Magra,MC El Bayadh,1,1,0.0,0.0,D
DZ1,25/11/2023,USM Khenchela,ES Ben Aknoun,0,0,,,D
DZ1,25/11/2023,US Souf,MC Alger,3,4,1.0,3.0,A
DZ1,25/11/2023,JS Kabylie,US Biskra,1,1,1.0,1.0,D
DZ1,25/11/2023,JS Saoura,ASO Chlef,3,2,1.0,2.0,H
DZ1,01/12/2023,MC El Bayadh,Paradou AC,1,0,0.0,0.0,H
DZ1,01/12/2023,MC Alger,NC Magra,4,0,3.0,0.0,H
DZ1,01/12/2023,CS Constantine,USM Khenchela,2,0,1.0,0.0,H
DZ1,02/12/2023,JS Saoura,ES Sétif,0,0,,,D
DZ1,02/12/2023,MC Oran,JS Kabylie,1,3,0.0,0.0,A
DZ1,02/12/2023,ASO Chlef,US Souf,2,0,1.0,0.0,H
DZ1,07/12/2023,Paradou AC,MC Alger,0,1,0.0,0.0,A
DZ1,08/12/2023,JS Kabylie,ES Ben Aknoun,1,0,1.0,0.0,H
DZ1,08/12/2023,USM Khenchela,MC El Bayadh,2,0,1.0,0.0,H
DZ1,09/12/2023,ES Sétif,US Biskra,2,2,0.0,2.0,D
DZ1,09/12/2023,US Souf,JS Saoura,0,1,0.0,0.0,A
DZ1,09/12/2023,NC Magra,ASO Chlef,1,1,1.0,0.0,D
DZ1,15/12/2023,MC El Bayadh,USM Alger,1,1,0.0,0.0,D
DZ1,15/12/2023,ASO Chlef,Paradou AC,1,1,0.0,0.0,D
DZ1,15/12/2023,ES Ben Aknoun,CR Bélouizdad,1,1,0.0,1.0,D
DZ1,15/12/2023,CS Constantine,JS Kabylie,2,0,1.0,0.0,H
DZ1,16/12/2023,JS Saoura,NC Magra,2,1,1.0,0.0,H
DZ1,16/12/2023,MC Alger,USM Khenchela,3,0,1.0,0.0,H
DZ1,16/12/2023,MC Oran,US Biskra,0,1,0.0,1.0,A
DZ1,16/12/2023,US Souf,ES Sétif,1,3,1.0,1.0,A
DZ1,28/12/2023,CR Bélouizdad,CS Constantine,2,1,1.0,0.0,H
DZ1,29/12/2023,ES Sétif,MC Oran,1,0,0.0,0.0,H
DZ1,29/12/2023,NC Magra,US Souf,1,0,0.0,0.0,H
DZ1,29/12/2023,USM Alger,MC Alger,0,0,,,D
DZ1,29/12/2023,US Biskra,ES Ben Aknoun,1,1,1.0,1.0,D
DZ1,29/12/2023,Paradou AC,JS Saoura,0,0,,,D
DZ1,29/12/2023,USM Khenchela,ASO Chlef,2,1,0.0,0.0,H
DZ1,05/01/2024,ES Ben Aknoun,MC Oran,2,1,1.0,1.0,H
DZ1,05/01/2024,US Souf,Paradou AC,1,4,0.0,2.0,A
DZ1,05/01/2024,CS Constantine,US Biskra,1,1,1.0,1.0,D
DZ1,05/01/2024,ASO Chlef,USM Alger,0,1,0.0,1.0,A
DZ1,05/01/2024,NC Magra,ES Sétif,0,1,0.0,0.0,A
DZ1,06/01/2024,JS Saoura,USM Khenchela,0,1,0.0,0.0,A
DZ1,06/01/2024,MC Alger,JS Kabylie,1,1,1.0,0.0,D
DZ1,09/01/2024,ES Sétif,CR Bélouizdad,1,3,0.0,2.0,A
DZ1,11/01/2024,MC Oran,CS Constantine,1,4,0.0,1.0,A
DZ1,11/01/2024,USM Alger,JS Saoura,2,1,0.0,1.0,H
DZ1,12/01/2024,Paradou AC,NC Magra,0,0,,,D
DZ1,13/01/2024,USM Khenchela,US Souf,2,0,0.0,0.0,H
DZ1,13/01/2024,US Biskra,MC El Bayadh,0,0,,,D
DZ1,13/01/2024,JS Kabylie,ASO Chlef,2,1,1.0,0.0,H
DZ1,13/01/2024,ES Sétif,ES Ben Aknoun,1,1,0.0,1.0,D
DZ1,14/01/2024,CR Bélouizdad,MC Alger,0,0,,,D
DZ1,15/01/2024,USM Alger,MC Oran,2,0,0.0,0.0,H
DZ1,19/01/2024,MC El Bayadh,MC Oran,0,1,0.0,0.0,A
DZ1,19/01/2024,MC Alger,US Biskra,1,0,0.0,0.0,H
DZ1,19/01/2024,CS Constantine,ES Ben Aknoun,1,1,0.0,0.0,D
DZ1,19/01/2024,JS Saoura,JS Kabylie,3,2,0.0,0.0,H
DZ1,19/01/2024,ASO Chlef,CR Bélouizdad,0,0,,,D
DZ1,19/01/2024,US Souf,USM Alger,1,3,1.0,1.0,A
DZ1,19/01/2024,Paradou AC,ES Sétif,1,0,0.0,0.0,H
DZ1,19/01/2024,NC Magra,USM Khenchela,1,1,0.0,0.0,D
DZ1,23/01/2024,JS Kabylie,MC El Bayadh,0,0,,,D
DZ1,23/01/2024,ES Ben Aknoun,USM Alger,1,2,0.0,0.0,A
DZ1,23/01/2024,US Biskra,CR Bélouizdad,0,0,,,D
DZ1,26/01/2024,USM Khenchela,Paradou AC,1,2,1.0,0.0,A
DZ1,26/01/2024,ES Sétif,CS Constantine,2,1,2.0,1.0,H
DZ1,26/01/2024,MC Oran,MC Alger,0,2,0.0,0.0,A
DZ1,27/01/2024,CR Bélouizdad,JS Saoura,3,1,1.0,1.0,H
DZ1,27/01/2024,ES Ben Aknoun,MC El Bayadh,1,1,1.0,0.0,D
DZ1,27/01/2024,JS Kabylie,US Souf,3,2,3.0,1.0,H
DZ1,27/01/2024,US Biskra,ASO Chlef,2,0,1.0,0.0,H
