Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
EG1,01/07/2023,Al Masry Club,El Gouna,2,1,1.0,1.0,H
EG1,02/07/2023,Smouha Sporting Club,Pyramids FC,2,3,1.0,1.0,A
EG1,02/07/2023,ENPPI,Al Mokawloon,2,2,1.0,1.0,D
EG1,03/07/2023,Future FC,Baladeyet Al Mahalla,1,0,0.0,0.0,H
EG1,03/07/2023,Pharco FC,Zamalek,1,1,1.0,1.0,D
EG1,03/07/2023,Ceramica Cleopatra,Ismaily,1,0,0.0,0.0,H
EG1,04/07/2023,El Daklyeh,Al Ahly SC,1,4,0.0,2.0,A
EG1,06/07/2023,ZED FC,National Bank SC,0,1,0.0,0.0,A
EG1,06/07/2023,Smouha Sporting Club,ENPPI,2,0,0.0,0.0,H
EG1,07/07/2023,Baladeyet Al Mahalla,Al Masry Club,0,1,0.0,1.0,A
EG1,07/07/2023,Zamalek,Ismaily,2,1,0.0,0.0,H
EG1,07/07/2023,El Gouna,Ceramica Cleopatra,0,0,,,D
EG1,08/07/2023,Pharco FC,El Daklyeh,2,0,0.0,0.0,H
EG1,08/07/2023,Ittihad El Iskandary,Pyramids FC,0,4,0.0,1.0,A
EG1,11/07/2023,Al Mokawloon,Future FC,1,2,0.0,2.0,A
EG1,12/07/2023,Al Ahly SC,Pyramids FC,3,2,1.0,1.0,H
EG1,13/07/2023,National Bank SC,Smouha Sporting Club,1,2,1.0,1.0,A
EG1,15/07/2023,Zamalek,Baladeyet Al Mahalla,0,0,,,D
EG1,16/07/2023,Future FC,Al Ahly SC,1,2,1.0,1.0,A
EG1,20/07/2023,Ceramica Cleopatra,Baladeyet Al Mahalla,4,0,3.0,0.0,H
EG1,20/07/2023,National Bank SC,Ittihad El Iskandary,0,0,,,D
EG1,21/07/2023,El Daklyeh,Zamalek,1,2,0.0,1.0,A
EG1,21/07/2023,ENPPI,ZED FC,1,4,0.0,3.0,A
EG1,21/07/2023,Al Masry Club,Al Mokawloon,1,1,1.0,1.0,D
EG1,22/07/2023,Future FC,Smouha Sporting Club,3,0,2.0,0.0,H
EG1,22/07/2023,Pyramids FC,Al Ahly SC,0,1,0.0,1.0,A
EG1,22/07/2023,Ismaily,El Gouna,1,1,1.0,0.0,D
EG1,26/07/2023,Zamalek,Pyramids FC,1,1,1.0,0.0,D
EG1,26/07/2023,Al Masry Club,Al Ahly SC,0,1,0.0,0.0,A
EG1,29/07/2023,Al Ahly SC,Ceramica Cleopatra,4,1,1.0,0.0,H
EG1,29/07/2023,Al Mokawloon,Zamalek,2,1,1.0,0.0,H
EG1,30/07/2023,Pharco FC,Pyramids FC,2,2,2.0,2.0,D
EG1,30/07/2023,Baladeyet Al Mahalla,Ismaily,4,2,1.0,1.0,H
EG1,31/07/2023,Ittihad El Iskandary,ENPPI,0,0,,,D
EG1,31/07/2023,ZED FC,Future FC,3,2,1.0,0.0,H
EG1,01/08/2023,Al Ahly SC,National Bank SC,1,0,1.0,0.0,H
EG1,01/08/2023,Al Mokawloon,Ceramica Cleopatra,1,1,0.0,1.0,D
EG1,01/08/2023,Smouha Sporting Club,Al Masry Club,1,0,0.0,0.0,H
EG1,02/08/2023,Zamalek,El Gouna,1,0,1.0,0.0,H
EG1,04/08/2023,Pyramids FC,ZED FC,2,1,1.0,0.0,H
EG1,04/08/2023,Al Ahly SC,Al Mokawloon,4,0,2.0,0.0,H
EG1,05/08/2023,Zamalek,ENPPI,4,2,2.0,0.0,H
EG1,08/08/2023,Smouha Sporting Club,Al Ahly SC,0,1,0.0,0.0,A
EG1,08/08/2023,ZED FC,Zamalek,0,1,0.0,0.0,A
EG1,11/08/2023,Al Ahly SC,ZED FC,2,1,1.0,0.0,H
EG1,12/08/2023,Ceramica Cleopatra,Smouha Sporting Club,0,1,0.0,0.0,A
EG1,12/08/2023,Future FC,Ittihad El Iskandary,1,1,1.0,0.0,D
EG1,13/08/2023,El Gouna,Baladeyet Al Mahalla,2,1,1.0,0.0,H
EG1,13/08/2023,Ismaily,Al Mokawloon,1,1,0.0,0.0,D
EG1,13/08/2023,National Bank SC,Pharco FC,0,0,,,D
EG1,14/08/2023,Pyramids FC,El Daklyeh,1,0,0.0,0.0,H
EG1,14/08/2023,Al Masry Club,ZED FC,0,1,0.0,0.0,A
EG1,14/08/2023,ENPPI,Al Ahly SC,1,1,1.0,1.0,D
EG1,16/08/2023,Smouha Sporting Club,Ismaily,2,0,0.0,0.0,H
EG1,17/08/2023,Baladeyet Al Mahalla,Zamalek,2,2,0.0,0.0,D
EG1,17/08/2023,Al Ahly SC,Future FC,1,2,0.0,0.0,A
EG1,17/08/2023,Pharco FC,ENPPI,0,0,,,D
EG1,18/08/2023,ZED FC,Ceramica Cleopatra,2,2,2.0,1.0,D
EG1,18/08/2023,Al Mokawloon,El Gouna,0,1,0.0,0.0,A
EG1,18/08/2023,El Daklyeh,National Bank SC,0,0,,,D
EG1,18/08/2023,Ittihad El Iskandary,Al Masry Club,0,2,0.0,2.0,A
EG1,19/09/2023,ZED FC,Ismaily,1,0,1.0,0.0,H
EG1,19/09/2023,Al Ahly SC,Al Masry Club,4,0,1.0,0.0,H
EG1,20/09/2023,Smouha Sporting Club,El Gouna,1,1,1.0,0.0,D
EG1,20/09/2023,Al Mokawloon,Baladeyet Al Mahalla,0,2,0.0,1.0,A
EG1,20/09/2023,El Daklyeh,ENPPI,1,0,1.0,0.0,H
EG1,21/09/2023,Pyramids FC,Zamalek,2,2,1.0,0.0,D
EG1,21/09/2023,Ittihad El Iskandary,Ceramica Cleopatra,1,0,1.0,0.0,H
EG1,21/09/2023,Pharco FC,Future FC,0,2,0.0,1.0,A
EG1,25/09/2023,Zamalek,Al Mokawloon,1,1,0.0,0.0,D
EG1,25/09/2023,National Bank SC,Pyramids FC,0,1,0.0,0.0,A
EG1,26/09/2023,Baladeyet Al Mahalla,Smouha Sporting Club,0,2,0.0,1.0,A
EG1,26/09/2023,Future FC,El Daklyeh,2,1,0.0,1.0,H
EG1,27/09/2023,El Gouna,ZED FC,0,1,0.0,0.0,A
EG1,28/09/2023,Ismaily,Ittihad El Iskandary,3,1,2.0,1.0,H
EG1,28/09/2023,Al Masry Club,Pharco FC,1,0,0.0,0.0,H
EG1,05/10/2023,ZED FC,Baladeyet Al Mahalla,3,3,3.0,2.0,D
EG1,05/10/2023,Smouha Sporting Club,Al Mokawloon,2,1,2.0,1.0,H
EG1,06/10/2023,Pharco FC,Ceramica Cleopatra,2,2,2.0,2.0,D
EG1,06/10/2023,Ittihad El Iskandary,El Gouna,2,2,0.0,1.0,D
EG1,07/10/2023,National Bank SC,Zamalek,1,2,1.0,0.0,A
EG1,07/10/2023,El Daklyeh,Al Masry Club,1,3,0.0,1.0,A
EG1,08/10/2023,Al Ahly SC,Ismaily,3,1,2.0,0.0,H
EG1,08/10/2023,Pyramids FC,ENPPI,1,0,1.0,0.0,H
EG1,20/10/2023,Ceramica Cleopatra,El Daklyeh,4,0,4.0,0.0,H
EG1,21/10/2023,Baladeyet Al Mahalla,Ittihad El Iskandary,2,2,2.0,1.0,D
