Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
GH1,15/09/2023,Real Tamale United,Accra Hearts of Oak SC,1,0,,,H
GH1,16/09/2023,Great Olympics FC,Bofoakwa Tano FC,0,0,,,D
GH1,17/09/2023,Legon Cities FC,Karela United FC,2,1,,,H
GH1,17/09/2023,Nsoatreman FC,Bechem United FC,2,0,,,H
GH1,17/09/2023,FC Samartex 1996,Aduana FC,1,0,,,H
GH1,17/09/2023,Berekum Chelsea FC,Bibiani Gold Stars FC,2,0,,,H
GH1,17/09/2023,Asante Kotoko FC,Heart of Lions FC,0,0,,,D
GH1,20/09/2023,Medeama SC,Accra Lions FC,2,2,,,D
GH1,20/09/2023,Dreams FC,Nations FC,1,0,,,H
GH1,22/09/2023,Bofoakwa Tano FC,Real Tamale United,2,1,,,H
GH1,23/09/2023,Bibiani Gold Stars FC,Asante Kotoko FC,2,1,,,H
GH1,24/09/2023,Nations FC,FC Samartex 1996,2,0,,,H
GH1,24/09/2023,Karela United FC,Berekum Chelsea FC,3,1,,,H
GH1,24/09/2023,Aduana FC,Medeama SC,2,0,,,H
GH1,24/09/2023,Bechem United FC,Dreams FC,1,0,,,H
GH1,24/09/2023,Accra Hearts of Oak SC,Nsoatreman FC,1,0,,,H
GH1,24/09/2023,Heart of Lions FC,Great Olympics FC,0,0,,,D
GH1,25/09/2023,Accra Lions FC,Legon Cities FC,1,0,,,H
GH1,29/09/2023,Berekum Chelsea FC,Accra Lions FC,1,1,,,D
GH1,30/09/2023,Bofoakwa Tano FC,Accra Hearts of Oak SC,1,0,,,H
GH1,01/10/2023,Legon Cities FC,Aduana FC,2,1,,,H
GH1,01/10/2023,Real Tamale United,Heart of Lions FC,2,2,,,D
GH1,01/10/2023,Great Olympics FC,Bibiani Gold Stars FC,1,0,,,H
GH1,01/10/2023,FC Samartex 1996,Bechem United FC,4,1,,,H
GH1,01/10/2023,Asante Kotoko FC,Karela United FC,1,1,,,D
GH1,06/10/2023,Aduana FC,Berekum Chelsea FC,1,0,,,H
GH1,07/10/2023,Bechem United FC,Medeama SC,1,2,,,A
GH1,08/10/2023,Bibiani Gold Stars FC,Real Tamale United,3,0,,,H
GH1,08/10/2023,Karela United FC,Great Olympics FC,0,0,,,D
GH1,08/10/2023,Nations FC,Legon Cities FC,1,1,,,D
GH1,08/10/2023,Accra Hearts of Oak SC,Dreams FC,0,0,,,D
GH1,08/10/2023,Heart of Lions FC,Bofoakwa Tano FC,0,0,,,D
GH1,08/10/2023,Nsoatreman FC,FC Samartex 1996,1,0,,,H
GH1,09/10/2023,Accra Lions FC,Asante Kotoko FC,0,1,,,A
GH1,11/10/2023,Dreams FC,Nsoatreman FC,1,1,,,D
GH1,13/10/2023,Asante Kotoko FC,Aduana FC,1,0,,,H
GH1,14/10/2023,Bofoakwa Tano FC,Bibiani Gold Stars FC,0,0,,,D
GH1,15/10/2023,Real Tamale United,Karela United FC,3,2,,,H
GH1,15/10/2023,FC Samartex 1996,Dreams FC,2,0,,,H
GH1,15/10/2023,Berekum Chelsea FC,Nations FC,1,0,,,H
GH1,15/10/2023,Legon Cities FC,Bechem United FC,1,1,,,D
GH1,16/10/2023,Great Olympics FC,Accra Lions FC,3,0,,,H
GH1,20/10/2023,Accra Lions FC,Real Tamale United,1,3,,,A
GH1,21/10/2023,Accra Hearts of Oak SC,FC Samartex 1996,0,0,,,D
GH1,22/10/2023,Karela United FC,Bofoakwa Tano FC,0,0,,,D
GH1,22/10/2023,Dreams FC,Medeama SC,2,1,,,H
GH1,22/10/2023,Nations FC,Asante Kotoko FC,2,2,,,D
GH1,22/10/2023,Nsoatreman FC,Legon Cities FC,2,0,,,H
GH1,22/10/2023,Aduana FC,Great Olympics FC,3,1,,,H
GH1,22/10/2023,Bechem United FC,Berekum Chelsea FC,2,0,,,H
GH1,23/10/2023,Bibiani Gold Stars FC,Heart of Lions FC,2,2,,,D
GH1,25/10/2023,Medeama SC,Nations FC,1,0,,,H
GH1,27/10/2023,Bofoakwa Tano FC,Accra Lions FC,1,1,,,D
GH1,28/10/2023,Bibiani Gold Stars FC,Accra Hearts of Oak SC,1,1,,,D
GH1,28/10/2023,Great Olympics FC,Nations FC,1,0,,,H
GH1,29/10/2023,Asante Kotoko FC,Bechem United FC,1,1,,,D
GH1,29/10/2023,Heart of Lions FC,Karela United FC,0,0,,,D
GH1,29/10/2023,Berekum Chelsea FC,Nsoatreman FC,0,1,,,A
GH1,29/10/2023,Legon Cities FC,Dreams FC,1,0,,,H
GH1,29/10/2023,Medeama SC,FC Samartex 1996,1,0,,,H
GH1,29/10/2023,Real Tamale United,Aduana FC,1,3,,,A
GH1,01/11/2023,Aduana FC,Bofoakwa Tano FC,4,2,,,H
GH1,01/11/2023,FC Samartex 1996,Legon Cities FC,3,0,,,H
GH1,01/11/2023,Bechem United FC,Great Olympics FC,2,1,,,H
GH1,01/11/2023,Nations FC,Real Tamale United,4,0,,,H
GH1,01/11/2023,Dreams FC,Berekum Chelsea FC,0,2,,,A
GH1,01/11/2023,Accra Hearts of Oak SC,Medeama SC,3,1,,,H
GH1,01/11/2023,Karela United FC,Bibiani Gold Stars FC,1,1,,,D
GH1,02/11/2023,Accra Lions FC,Heart of Lions FC,2,1,,,H
GH1,02/11/2023,Nsoatreman FC,Asante Kotoko FC,1,0,,,H
GH1,04/11/2023,Karela United FC,Accra Hearts of Oak SC,1,1,,,D
GH1,05/11/2023,Asante Kotoko FC,Dreams FC,0,1,,,A
GH1,05/11/2023,Heart of Lions FC,Aduana FC,1,2,,,A
GH1,05/11/2023,Berekum Chelsea FC,FC Samartex 1996,1,0,,,H
GH1,05/11/2023,Legon Cities FC,Medeama SC,0,2,,,A
GH1,05/11/2023,Real Tamale United,Bechem United FC,0,0,,,D
GH1,05/11/2023,Bofoakwa Tano FC,Nations FC,1,0,,,H
GH1,05/11/2023,Bibiani Gold Stars FC,Accra Lions FC,1,1,,,D
GH1,06/11/2023,Great Olympics FC,Nsoatreman FC,2,1,,,H
GH1,08/11/2023,Heart of Lions FC,Accra Hearts of Oak SC,0,0,,,D
GH1,09/11/2023,Medeama SC,Nsoatreman FC,1,0,,,H
GH1,10/11/2023,Accra Lions FC,Karela United FC,2,1,,,H
GH1,11/11/2023,FC Samartex 1996,Asante Kotoko FC,1,0,,,H
GH1,12/11/2023,Nations FC,Heart of Lions FC,1,0,,,H
GH1,12/11/2023,Nsoatreman FC,Real Tamale United,2,0,,,H
GH1,12/11/2023,Dreams FC,Great Olympics FC,2,0,,,H
GH1,12/11/2023,Bechem United FC,Bofoakwa Tano FC,1,1,,,D
GH1,12/11/2023,Accra Hearts of Oak SC,Legon Cities FC,0,0,,,D
