Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
KE1,26/08/2023,Bandari FC,Tusker FC,0,1,,,A
KE1,26/08/2023,Nzoia Sugar FC,Ulinzi Stars FC,2,1,,,H
KE1,26/08/2023,Gor Mahia FC,Sofapaka FC,1,1,,,D
KE1,26/08/2023,Kariobangi Sharks FC,Kenya Police FC,0,0,,,D
KE1,27/08/2023,Posta Rangers FC,Bidco United FC,0,0,,,D
KE1,27/08/2023,AFC Leopards,FC Talanta,0,0,,,D
KE1,27/08/2023,Nairobi City Stars FC,Muhoroni Youth FC,0,0,,,D
KE1,01/09/2023,Muhoroni Youth FC,Nzoia Sugar FC,1,1,,,D
KE1,01/09/2023,KCB FC,AFC Leopards,1,0,,,H
KE1,01/09/2023,FC Talanta,Shabana FC,1,1,,,D
KE1,01/09/2023,Kenya Police FC,Posta Rangers FC,0,3,,,A
KE1,01/09/2023,Sofapaka FC,Bandari FC,0,1,,,A
KE1,02/09/2023,Tusker FC,Kariobangi Sharks FC,1,1,,,D
KE1,02/09/2023,Ulinzi Stars FC,Gor Mahia FC,0,1,,,A
KE1,03/09/2023,Bidco United FC,Nairobi City Stars FC,1,1,,,D
KE1,16/09/2023,Nzoia Sugar FC,Bidco United FC,1,1,,,D
KE1,16/09/2023,AFC Leopards,Muhoroni Youth FC,0,0,,,D
KE1,16/09/2023,Bandari FC,Ulinzi Stars FC,1,0,,,H
KE1,16/09/2023,Shabana FC,Kenya Police FC,1,1,,,D
KE1,16/09/2023,Kakamega Homeboyz FC,Tusker FC,2,1,,,H
KE1,17/09/2023,Kariobangi Sharks FC,KCB FC,2,1,,,H
KE1,17/09/2023,Posta Rangers FC,Sofapaka FC,3,1,,,H
KE1,17/09/2023,Gor Mahia FC,Nairobi City Stars FC,4,1,,,H
KE1,23/09/2023,Kenya Police FC,AFC Leopards,2,2,,,D
KE1,23/09/2023,Tusker FC,Muhoroni Youth FC,1,0,,,H
KE1,23/09/2023,Bidco United FC,FC Talanta,3,1,,,H
KE1,23/09/2023,Shabana FC,Kariobangi Sharks FC,0,1,,,A
KE1,24/09/2023,Nairobi City Stars FC,Nzoia Sugar FC,2,1,,,H
KE1,24/09/2023,KCB FC,Bandari FC,0,0,,,D
KE1,24/09/2023,Ulinzi Stars FC,Sofapaka FC,1,0,,,H
KE1,24/09/2023,Kakamega Homeboyz FC,Gor Mahia FC,1,1,,,D
KE1,27/09/2023,Kakamega Homeboyz FC,KCB FC,0,2,,,A
KE1,29/09/2023,Muhoroni Youth FC,Ulinzi Stars FC,1,0,,,H
KE1,30/09/2023,Kariobangi Sharks FC,Posta Rangers FC,0,1,,,A
KE1,30/09/2023,Sofapaka FC,Nairobi City Stars FC,1,2,,,A
KE1,30/09/2023,Kenya Police FC,Bidco United FC,2,0,,,H
KE1,01/10/2023,FC Talanta,Tusker FC,0,0,,,D
KE1,01/10/2023,Gor Mahia FC,KCB FC,1,1,,,D
KE1,01/10/2023,AFC Leopards,Shabana FC,1,1,,,D
KE1,01/10/2023,Bandari FC,Kakamega Homeboyz FC,0,1,,,A
KE1,06/10/2023,Posta Rangers FC,Nzoia Sugar FC,2,0,,,H
KE1,06/10/2023,Tusker FC,Shabana FC,0,1,,,A
KE1,06/10/2023,Kakamega Homeboyz FC,FC Talanta,3,3,,,D
KE1,07/10/2023,Nairobi City Stars FC,Kenya Police FC,0,1,,,A
KE1,07/10/2023,Ulinzi Stars FC,Kariobangi Sharks FC,1,0,,,H
KE1,07/10/2023,AFC Leopards,Gor Mahia FC,0,2,,,A
KE1,09/10/2023,Bidco United FC,Bandari FC,2,0,,,H
KE1,09/10/2023,Muhoroni Youth FC,KCB FC,0,2,,,A
KE1,21/10/2023,KCB FC,Ulinzi Stars FC,1,1,,,D
KE1,21/10/2023,FC Talanta,Posta Rangers FC,3,1,,,H
KE1,21/10/2023,Sofapaka FC,Kenya Police FC,1,0,,,H
KE1,22/10/2023,Kariobangi Sharks FC,Muhoroni Youth FC,1,1,,,D
KE1,22/10/2023,Bandari FC,AFC Leopards,1,0,,,H
KE1,22/10/2023,Shabana FC,Nairobi City Stars FC,2,2,,,D
KE1,22/10/2023,Nzoia Sugar FC,Kakamega Homeboyz FC,0,1,,,A
KE1,22/10/2023,Tusker FC,Gor Mahia FC,0,1,,,A
KE1,28/10/2023,Kenya Police FC,FC Talanta,1,1,,,D
KE1,28/10/2023,Gor Mahia FC,Bidco United FC,0,0,,,D
KE1,28/10/2023,Sofapaka FC,Tusker FC,0,1,,,A
KE1,28/10/2023,Posta Rangers FC,Bandari FC,2,0,,,H
KE1,29/10/2023,Nzoia Sugar FC,AFC Leopards,0,1,,,A
KE1,29/10/2023,Kariobangi Sharks FC,Kakamega Homeboyz FC,1,0,,,H
KE1,29/10/2023,Ulinzi Stars FC,Shabana FC,4,0,,,H
KE1,29/10/2023,Nairobi City Stars FC,KCB FC,1,4,,,A
KE1,01/11/2023,Bidco United FC,Muhoroni Youth FC,3,0,,,H
KE1,01/11/2023,FC Talanta,Nzoia Sugar FC,0,0,,,D
KE1,01/11/2023,AFC Leopards,Kariobangi Sharks FC,0,0,,,D
KE1,01/11/2023,Bandari FC,Kenya Police FC,3,2,,,H
KE1,01/11/2023,Tusker FC,Ulinzi Stars FC,0,1,,,A
KE1,01/11/2023,KCB FC,Sofapaka FC,0,3,,,A
KE1,01/11/2023,Shabana FC,Gor Mahia FC,0,1,,,A
KE1,02/11/2023,Kakamega Homeboyz FC,Posta Rangers FC,1,1,,,D
KE1,04/11/2023,Sofapaka FC,FC Talanta,0,3,,,A
KE1,04/11/2023,Nairobi City Stars FC,AFC Leopards,3,2,,,H
KE1,04/11/2023,Nzoia Sugar FC,Kariobangi Sharks FC,1,0,,,H
KE1,05/11/2023,Posta Rangers FC,KCB FC,0,0,,,D
KE1,05/11/2023,Ulinzi Stars FC,Bidco United FC,0,1,,,A
KE1,05/11/2023,Bandari FC,Shabana FC,2,1,,,H
KE1,05/11/2023,Muhoroni Youth FC,Kakamega Homeboyz FC,0,2,,,A
KE1,05/11/2023,Gor Mahia FC,Kenya Police FC,0,0,,,D
KE1,10/11/2023,Kakamega Homeboyz FC,Sofapaka FC,5,0,,,H
KE1,10/11/2023,FC Talanta,Muhoroni Youth FC,2,0,,,H
KE1,10/11/2023,Kenya Police FC,Ulinzi Stars FC,2,0,,,H
KE1,11/11/2023,Shabana FC,Nzoia Sugar FC,2,1,,,H
KE1,11/11/2023,Kariobangi Sharks FC,Bandari FC,0,2,,,A
KE1,11/11/2023,KCB FC,Bidco United FC,3,0,,,H
KE1,11/11/2023,AFC Leopards,Posta Rangers FC,1,1,,,D
KE1,11/11/2023,Tusker FC,Nairobi City Stars FC,3,1,,,H
KE1,25/11/2023,Posta Rangers FC,Shabana FC,3,1,,,H
KE1,25/11/2023,Bandari FC,FC Talanta,1,1,,,D
KE1,25/11/2023,Nairobi City Stars FC,Kariobangi Sharks FC,3,1,,,H
KE1,25/11/2023,Sofapaka FC,AFC Leopards,1,1,,,D
KE1,26/11/2023,Ulinzi Stars FC,Kakamega Homeboyz FC,0,1,,,A
KE1,26/11/2023,Muhoroni Youth FC,Gor Mahia FC,0,2,,,A
KE1,26/11/2023,Nzoia Sugar FC,Kenya Police FC,1,3,,,A
KE1,02/12/2023,FC Talanta,Ulinzi Stars FC,0,3,,,A
KE1,02/12/2023,Posta Rangers FC,Nairobi City Stars FC,0,1,,,A
KE1,02/12/2023,Shabana FC,KCB FC,1,1,,,D
KE1,03/12/2023,Kariobangi Sharks FC,Gor Mahia FC,1,2,,,A
KE1,03/12/2023,Nzoia Sugar FC,Sofapaka FC,1,3,,,A
KE1,03/12/2023,Bandari FC,Muhoroni Youth FC,1,0,,,H
KE1,03/12/2023,Kakamega Homeboyz FC,Bidco United FC,1,0,,,H
KE1,04/12/2023,AFC Leopards,Tusker FC,0,0,,,D
KE1,09/12/2023,KCB FC,FC Talanta,0,0,,,D
KE1,09/12/2023,Gor Mahia FC,Nzoia Sugar FC,2,2,,,D
KE1,09/12/2023,Nairobi City Stars FC,Bandari FC,1,0,,,H
KE1,10/12/2023,Sofapaka FC,Kariobangi Sharks FC,2,1,,,H
KE1,10/12/2023,Kakamega Homeboyz FC,Shabana FC,2,0,,,H
KE1,10/12/2023,Bidco United FC,AFC Leopards,2,1,,,H
KE1,10/12/2023,Tusker FC,Posta Rangers FC,0,0,,,D
KE1,11/12/2023,Muhoroni Youth FC,Kenya Police FC,1,1,,,D
KE1,13/12/2023,Bidco United FC,Tusker FC,2,3,,,A
KE1,16/12/2023,Shabana FC,Sofapaka FC,4,1,,,H
