Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
MA1,25/08/2023,Maghrib de Fès,Moghreb de Tétouan,2,1,1.0,1.0,H
MA1,26/08/2023,Olympique de Safi,Hassania US Agadir,1,1,0.0,0.0,D
MA1,26/08/2023,Union de Touarga,CR Khemis Zemamra,2,1,2.0,0.0,H
MA1,27/08/2023,Ittihad Tanger,JS Soualem,0,2,0.0,2.0,A
MA1,27/08/2023,Youssoufia Berrechid,Raja Casablanca,1,3,1.0,1.0,A
MA1,27/08/2023,RS Berkane,Mouloudia Oujda,2,0,1.0,0.0,H
MA1,30/08/2023,FAR de Rabat,Chabab Mohammédia,2,0,0.0,0.0,H
MA1,31/08/2023,Wydad AC,FUS de Rabat,0,2,0.0,1.0,A
MA1,01/09/2023,JS Soualem,Hassania US Agadir,1,0,0.0,0.0,H
MA1,02/09/2023,CR Khemis Zemamra,Youssoufia Berrechid,1,0,0.0,0.0,H
MA1,02/09/2023,Mouloudia Oujda,Union de Touarga,1,3,0.0,1.0,A
MA1,02/09/2023,Moghreb de Tétouan,Olympique de Safi,0,0,,,D
MA1,03/09/2023,Chabab Mohammédia,Wydad AC,2,3,2.0,2.0,A
MA1,03/09/2023,FUS de Rabat,Maghrib de Fès,0,0,,,D
MA1,03/09/2023,RS Berkane,Ittihad Tanger,2,1,1.0,1.0,H
MA1,03/09/2023,Raja Casablanca,FAR de Rabat,2,2,2.0,1.0,D
MA1,16/09/2023,Hassania US Agadir,Moghreb de Tétouan,0,2,0.0,1.0,A
MA1,16/09/2023,Olympique de Safi,FUS de Rabat,0,0,,,D
MA1,16/09/2023,Youssoufia Berrechid,Chabab Mohammédia,0,1,0.0,1.0,A
MA1,17/09/2023,Maghrib de Fès,Raja Casablanca,1,1,0.0,0.0,D
MA1,17/09/2023,Ittihad Tanger,Mouloudia Oujda,1,1,0.0,0.0,D
MA1,20/09/2023,Union de Touarga,RS Berkane,1,3,0.0,2.0,A
MA1,20/09/2023,FAR de Rabat,CR Khemis Zemamra,3,1,1.0,0.0,H
MA1,21/09/2023,Wydad AC,JS Soualem,1,0,0.0,0.0,H
MA1,23/09/2023,Ittihad Tanger,Youssoufia Berrechid,2,1,0.0,1.0,H
MA1,23/09/2023,Chabab Mohammédia,Moghreb de Tétouan,0,1,0.0,0.0,A
MA1,24/09/2023,RS Berkane,Wydad AC,0,0,,,D
MA1,24/09/2023,Raja Casablanca,Union de Touarga,1,0,0.0,0.0,H
MA1,25/09/2023,JS Soualem,Olympique de Safi,0,1,0.0,0.0,A
MA1,25/09/2023,Mouloudia Oujda,FAR de Rabat,0,3,0.0,2.0,A
MA1,25/09/2023,CR Khemis Zemamra,Maghrib de Fès,1,1,1.0,0.0,D
MA1,27/09/2023,FUS de Rabat,Hassania US Agadir,2,0,1.0,0.0,H
MA1,30/09/2023,Olympique de Safi,Chabab Mohammédia,0,0,,,D
MA1,01/10/2023,Hassania US Agadir,Raja Casablanca,1,1,1.0,0.0,D
MA1,01/10/2023,Youssoufia Berrechid,Mouloudia Oujda,0,0,,,D
MA1,01/10/2023,Maghrib de Fès,JS Soualem,3,0,0.0,0.0,H
MA1,01/10/2023,Union de Touarga,Ittihad Tanger,2,2,0.0,2.0,D
MA1,04/10/2023,Wydad AC,CR Khemis Zemamra,3,1,1.0,1.0,H
MA1,04/10/2023,FAR de Rabat,RS Berkane,0,0,,,D
MA1,05/10/2023,Moghreb de Tétouan,FUS de Rabat,2,1,2.0,0.0,H
MA1,06/10/2023,Chabab Mohammédia,Hassania US Agadir,3,1,1.0,1.0,H
MA1,07/10/2023,Union de Touarga,FAR de Rabat,2,1,0.0,1.0,H
MA1,07/10/2023,Mouloudia Oujda,Maghrib de Fès,1,3,0.0,2.0,A
MA1,07/10/2023,Ittihad Tanger,Wydad AC,0,3,0.0,1.0,A
MA1,08/10/2023,JS Soualem,FUS de Rabat,1,3,0.0,2.0,A
MA1,08/10/2023,RS Berkane,Youssoufia Berrechid,3,1,1.0,0.0,H
MA1,08/10/2023,CR Khemis Zemamra,Olympique de Safi,3,2,2.0,2.0,H
MA1,08/10/2023,Raja Casablanca,Moghreb de Tétouan,1,0,0.0,0.0,H
MA1,27/10/2023,FUS de Rabat,Chabab Mohammédia,1,0,1.0,0.0,H
MA1,28/10/2023,Hassania US Agadir,CR Khemis Zemamra,2,2,0.0,2.0,D
MA1,28/10/2023,Olympique de Safi,Raja Casablanca,2,2,0.0,0.0,D
MA1,28/10/2023,Youssoufia Berrechid,Union de Touarga,2,1,1.0,0.0,H
MA1,29/10/2023,Maghrib de Fès,RS Berkane,0,0,,,D
MA1,29/10/2023,FAR de Rabat,Ittihad Tanger,1,0,0.0,0.0,H
MA1,29/10/2023,Moghreb de Tétouan,JS Soualem,4,0,2.0,0.0,H
MA1,03/11/2023,JS Soualem,Chabab Mohammédia,2,2,1.0,0.0,D
MA1,04/11/2023,CR Khemis Zemamra,Moghreb de Tétouan,1,1,0.0,0.0,D
MA1,04/11/2023,RS Berkane,Hassania US Agadir,0,0,,,D
MA1,04/11/2023,FAR de Rabat,Youssoufia Berrechid,4,1,2.0,0.0,H
MA1,05/11/2023,Ittihad Tanger,Maghrib de Fès,2,2,1.0,1.0,D
MA1,05/11/2023,Mouloudia Oujda,Olympique de Safi,1,1,1.0,0.0,D
MA1,06/11/2023,Raja Casablanca,FUS de Rabat,2,0,1.0,0.0,H
MA1,10/11/2023,Maghrib de Fès,Union de Touarga,0,1,0.0,0.0,A
MA1,10/11/2023,Moghreb de Tétouan,Mouloudia Oujda,1,1,0.0,1.0,D
MA1,11/11/2023,FUS de Rabat,RS Berkane,1,1,1.0,0.0,D
MA1,11/11/2023,JS Soualem,Raja Casablanca,0,0,,,D
MA1,11/11/2023,Olympique de Safi,FAR de Rabat,1,0,0.0,0.0,H
MA1,12/11/2023,Chabab Mohammédia,CR Khemis Zemamra,0,2,0.0,0.0,A
MA1,12/11/2023,Hassania US Agadir,Ittihad Tanger,1,1,1.0,0.0,D
MA1,24/11/2023,Union de Touarga,FUS de Rabat,0,0,,,D
MA1,25/11/2023,Youssoufia Berrechid,Maghrib de Fès,1,0,0.0,0.0,H
MA1,25/11/2023,Mouloudia Oujda,Hassania US Agadir,1,0,1.0,0.0,H
MA1,26/11/2023,Ittihad Tanger,Moghreb de Tétouan,1,1,1.0,1.0,D
MA1,26/11/2023,Raja Casablanca,Chabab Mohammédia,1,0,0.0,0.0,H
