Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
NG1,22/08/2025,Remo Stars FC,Rivers United FC,1,1,,,D
NG1,24/08/2025,El-Kanemi Warriors FC,Bendel FC,2,0,,,H
NG1,24/08/2025,Shooting Stars SC,Bayelsa United FC,0,1,,,A
NG1,24/08/2025,Abia Warriors FC,Kano Pillars FC,1,0,,,H
NG1,24/08/2025,Wikki Tourists FC,Plateau United FC,1,0,,,H
NG1,24/08/2025,Kwara United FC,Ikorodu City FC,0,0,,,D
NG1,24/08/2025,Rangers International FC,Kun Khalifat FC,0,0,,,D
NG1,24/08/2025,Katsina United FC,Warri Wolves FC,0,1,,,A
NG1,24/08/2025,Barau FC,Enyimba FC,0,0,,,D
NG1,27/08/2025,Niger Tornadoes FC,Nasarawa United FC,1,0,,,H
NG1,30/08/2025,Bendel FC,Shooting Stars SC,1,1,,,D
NG1,31/08/2025,Ikorodu City FC,El-Kanemi Warriors FC,0,0,,,D
NG1,31/08/2025,Warri Wolves FC,Rangers International FC,2,0,,,H
NG1,31/08/2025,Nasarawa United FC,Abia Warriors FC,1,0,,,H
NG1,31/08/2025,Enyimba FC,Niger Tornadoes FC,1,0,,,H
NG1,31/08/2025,Kano Pillars FC,Wikki Tourists FC,1,1,,,D
NG1,31/08/2025,Rivers United FC,Kwara United FC,1,0,,,H
NG1,31/08/2025,Plateau United FC,Katsina United FC,1,2,,,A
NG1,31/08/2025,Bayelsa United FC,Barau FC,2,0,,,H
NG1,01/09/2025,Kun Khalifat FC,Remo Stars FC,1,2,,,A
NG1,07/09/2025,El-Kanemi Warriors FC,Rivers United FC,0,0,,,D
NG1,07/09/2025,Barau FC,Bendel FC,1,1,,,D
NG1,07/09/2025,Enyimba FC,Nasarawa United FC,0,0,,,D
NG1,07/09/2025,Kwara United FC,Kun Khalifat FC,2,0,,,H
NG1,07/09/2025,Niger Tornadoes FC,Bayelsa United FC,1,0,,,H
NG1,07/09/2025,Rangers International FC,Plateau United FC,2,0,,,H
NG1,07/09/2025,Shooting Stars SC,Ikorodu City FC,1,1,,,D
NG1,07/09/2025,Remo Stars FC,Warri Wolves FC,1,0,,,H
NG1,07/09/2025,Katsina United FC,Kano Pillars FC,1,0,,,H
NG1,07/09/2025,Wikki Tourists FC,Abia Warriors FC,1,0,,,H
NG1,13/09/2025,Bendel FC,Niger Tornadoes FC,1,0,,,H
NG1,14/09/2025,Nasarawa United FC,Wikki Tourists FC,1,0,,,H
NG1,14/09/2025,Abia Warriors FC,Katsina United FC,1,0,,,H
NG1,14/09/2025,Bayelsa United FC,Enyimba FC,0,2,,,A
