Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
NOR1,10/04/2023,Rosenborg BK,Viking FK,1,0,0.0,0.0,H
NOR1,10/04/2023,Aalesunds FK,Vålerenga IF,0,1,0.0,0.0,A
NOR1,10/04/2023,Hamarkameratene,Sandefjord Fotball,2,0,2.0,0.0,H
NOR1,10/04/2023,Sarpsborg 08,FK Bodø/Glimt,0,2,0.0,2.0,A
NOR1,10/04/2023,Stabæk IF,Odds BK,0,0,,,D
NOR1,10/04/2023,Tromsø IL,Molde FK,1,0,0.0,0.0,H
NOR1,10/04/2023,SK Brann,FK Haugesund,3,0,2.0,0.0,H
NOR1,15/04/2023,Viking FK,Lillestrøm SK,2,0,0.0,0.0,H
NOR1,16/04/2023,FK Bodø/Glimt,Stabæk IF,4,0,3.0,0.0,H
NOR1,16/04/2023,FK Haugesund,Hamarkameratene,3,2,1.0,0.0,H
NOR1,16/04/2023,Molde FK,Rosenborg BK,1,1,1.0,1.0,D
NOR1,16/04/2023,Odds BK,SK Brann,2,0,1.0,0.0,H
NOR1,16/04/2023,Sandefjord Fotball,Tromsø IL,0,0,,,D
NOR1,16/04/2023,Strømsgodset IF,Aalesunds FK,1,0,1.0,0.0,H
NOR1,16/04/2023,Vålerenga IF,Sarpsborg 08,0,2,0.0,0.0,A
NOR1,19/04/2023,Lillestrøm SK,Strømsgodset IF,4,3,2.0,2.0,H
NOR1,22/04/2023,SK Brann,Vålerenga IF,3,1,1.0,1.0,H
NOR1,23/04/2023,Aalesunds FK,FK Bodø/Glimt,0,3,0.0,2.0,A
NOR1,23/04/2023,Hamarkameratene,Strømsgodset IF,2,0,0.0,0.0,H
NOR1,23/04/2023,Rosenborg BK,Sandefjord Fotball,1,1,0.0,1.0,D
NOR1,23/04/2023,Sarpsborg 08,Odds BK,0,0,,,D
NOR1,23/04/2023,Stabæk IF,FK Haugesund,3,0,1.0,0.0,H
NOR1,23/04/2023,Tromsø IL,Viking FK,1,1,1.0,0.0,D
NOR1,23/04/2023,Lillestrøm SK,Molde FK,2,1,2.0,1.0,H
NOR1,29/04/2023,FK Bodø/Glimt,SK Brann,2,2,0.0,2.0,D
NOR1,30/04/2023,Odds BK,Rosenborg BK,0,0,,,D
NOR1,30/04/2023,Viking FK,Hamarkameratene,7,3,0.0,1.0,H
NOR1,30/04/2023,Strømsgodset IF,Tromsø IL,0,1,0.0,0.0,A
NOR1,30/04/2023,FK Haugesund,Sarpsborg 08,0,0,,,D
NOR1,30/04/2023,Molde FK,Stabæk IF,2,3,1.0,2.0,A
NOR1,30/04/2023,Sandefjord Fotball,Aalesunds FK,4,0,2.0,0.0,H
NOR1,01/05/2023,Vålerenga IF,Lillestrøm SK,3,4,3.0,1.0,A
NOR1,03/05/2023,Rosenborg BK,SK Brann,0,2,0.0,1.0,A
NOR1,03/05/2023,Molde FK,Aalesunds FK,3,0,0.0,0.0,H
NOR1,03/05/2023,FK Bodø/Glimt,Odds BK,2,0,0.0,0.0,H
NOR1,06/05/2023,Rosenborg BK,Vålerenga IF,1,3,0.0,1.0,A
NOR1,07/05/2023,Stabæk IF,Sarpsborg 08,1,1,0.0,0.0,D
NOR1,07/05/2023,Tromsø IL,Odds BK,0,1,0.0,0.0,A
NOR1,07/05/2023,Viking FK,Strømsgodset IF,1,1,0.0,0.0,D
NOR1,07/05/2023,Lillestrøm SK,FK Bodø/Glimt,1,2,0.0,0.0,A
NOR1,07/05/2023,Aalesunds FK,FK Haugesund,0,0,,,D
NOR1,07/05/2023,Hamarkameratene,Molde FK,0,4,0.0,1.0,A
NOR1,08/05/2023,SK Brann,Sandefjord Fotball,0,0,,,D
NOR1,12/05/2023,Odds BK,Lillestrøm SK,0,1,0.0,0.0,A
NOR1,13/05/2023,FK Haugesund,Vålerenga IF,1,1,0.0,0.0,D
NOR1,13/05/2023,Stabæk IF,Aalesunds FK,1,0,0.0,0.0,H
NOR1,13/05/2023,Molde FK,Strømsgodset IF,3,2,1.0,0.0,H
NOR1,13/05/2023,Sandefjord Fotball,Viking FK,1,2,1.0,1.0,A
NOR1,13/05/2023,Hamarkameratene,Tromsø IL,1,2,0.0,1.0,A
NOR1,13/05/2023,FK Bodø/Glimt,Rosenborg BK,3,2,2.0,1.0,H
NOR1,13/05/2023,Sarpsborg 08,SK Brann,2,1,2.0,0.0,H
NOR1,16/05/2023,Viking FK,Odds BK,3,2,0.0,2.0,H
NOR1,16/05/2023,Vålerenga IF,Hamarkameratene,3,0,3.0,0.0,H
NOR1,16/05/2023,Rosenborg BK,FK Haugesund,1,0,0.0,0.0,H
NOR1,16/05/2023,Strømsgodset IF,Sandefjord Fotball,1,0,1.0,0.0,H
NOR1,16/05/2023,Lillestrøm SK,Sarpsborg 08,1,2,0.0,0.0,A
NOR1,16/05/2023,SK Brann,Stabæk IF,4,1,2.0,1.0,H
NOR1,16/05/2023,Aalesunds FK,Molde FK,3,1,1.0,0.0,H
NOR1,16/05/2023,Tromsø IL,FK Bodø/Glimt,2,3,1.0,2.0,A
NOR1,29/05/2023,SK Brann,Rosenborg BK,3,1,1.0,0.0,H
NOR1,29/05/2023,FK Bodø/Glimt,Viking FK,5,1,2.0,0.0,H
NOR1,29/05/2023,FK Haugesund,Tromsø IL,1,2,1.0,1.0,A
NOR1,29/05/2023,Molde FK,Sandefjord Fotball,5,0,2.0,0.0,H
NOR1,29/05/2023,Odds BK,Strømsgodset IF,1,1,0.0,0.0,D
NOR1,29/05/2023,Sarpsborg 08,Aalesunds FK,3,1,2.0,1.0,H
NOR1,29/05/2023,Stabæk IF,Vålerenga IF,2,1,2.0,0.0,H
NOR1,29/05/2023,Hamarkameratene,Lillestrøm SK,0,0,,,D
NOR1,04/06/2023,Viking FK,Molde FK,3,4,1.0,2.0,A
NOR1,04/06/2023,Vålerenga IF,FK Bodø/Glimt,1,3,0.0,1.0,A
NOR1,04/06/2023,Aalesunds FK,SK Brann,1,3,1.0,0.0,A
NOR1,04/06/2023,Strømsgodset IF,FK Haugesund,1,2,0.0,1.0,A
NOR1,04/06/2023,Sandefjord Fotball,Odds BK,4,1,1.0,0.0,H
NOR1,04/06/2023,Tromsø IL,Sarpsborg 08,2,1,0.0,1.0,H
NOR1,04/06/2023,Rosenborg BK,Hamarkameratene,4,0,1.0,0.0,H
NOR1,04/06/2023,Lillestrøm SK,Stabæk IF,3,1,1.0,1.0,H
NOR1,11/06/2023,Aalesunds FK,Tromsø IL,2,3,1.0,1.0,A
NOR1,11/06/2023,FK Bodø/Glimt,Hamarkameratene,3,0,0.0,0.0,H
NOR1,11/06/2023,FK Haugesund,Sandefjord Fotball,3,2,3.0,0.0,H
NOR1,11/06/2023,Odds BK,Molde FK,1,0,0.0,0.0,H
NOR1,11/06/2023,Sarpsborg 08,Viking FK,1,3,0.0,1.0,A
NOR1,11/06/2023,Stabæk IF,Rosenborg BK,2,2,2.0,1.0,D
NOR1,11/06/2023,Vålerenga IF,Strømsgodset IF,0,1,0.0,0.0,A
NOR1,11/06/2023,SK Brann,Lillestrøm SK,2,2,0.0,1.0,D
NOR1,24/06/2023,Viking FK,SK Brann,3,1,1.0,1.0,H
NOR1,25/06/2023,Strømsgodset IF,FK Bodø/Glimt,2,0,1.0,0.0,H
NOR1,25/06/2023,Molde FK,FK Haugesund,1,0,1.0,0.0,H
NOR1,25/06/2023,Rosenborg BK,Sarpsborg 08,0,3,0.0,3.0,A
NOR1,25/06/2023,Tromsø IL,Stabæk IF,2,1,2.0,1.0,H
NOR1,25/06/2023,Hamarkameratene,Odds BK,0,1,0.0,0.0,A
NOR1,01/07/2023,Vålerenga IF,Viking FK,1,2,0.0,1.0,A
NOR1,02/07/2023,Aalesunds FK,Rosenborg BK,1,0,0.0,0.0,H
NOR1,02/07/2023,SK Brann,Hamarkameratene,2,1,1.0,0.0,H
NOR1,02/07/2023,FK Haugesund,Odds BK,2,1,1.0,1.0,H
NOR1,02/07/2023,Lillestrøm SK,Tromsø IL,0,1,0.0,0.0,A
NOR1,02/07/2023,Sarpsborg 08,Sandefjord Fotball,6,1,3.0,1.0,H
NOR1,02/07/2023,FK Bodø/Glimt,Molde FK,2,2,0.0,2.0,D
NOR1,03/07/2023,Stabæk IF,Strømsgodset IF,0,1,0.0,1.0,A
NOR1,07/07/2023,Hamarkameratene,Aalesunds FK,2,1,0.0,0.0,H
NOR1,08/07/2023,Viking FK,FK Haugesund,2,0,0.0,0.0,H
NOR1,09/07/2023,Molde FK,SK Brann,2,0,1.0,0.0,H
NOR1,09/07/2023,Tromsø IL,Vålerenga IF,0,0,,,D
NOR1,09/07/2023,Rosenborg BK,Lillestrøm SK,1,2,1.0,0.0,A
NOR1,09/07/2023,Sandefjord Fotball,Stabæk IF,0,0,,,D
NOR1,09/07/2023,Odds BK,FK Bodø/Glimt,0,2,0.0,1.0,A
NOR1,09/07/2023,Strømsgodset IF,Sarpsborg 08,5,2,3.0,2.0,H
NOR1,15/07/2023,Vålerenga IF,Molde FK,0,4,0.0,3.0,A
NOR1,16/07/2023,SK Brann,Strømsgodset IF,1,0,1.0,0.0,H
NOR1,16/07/2023,Stabæk IF,Viking FK,0,1,0.0,0.0,A
NOR1,16/07/2023,Sarpsborg 08,Hamarkameratene,2,3,2.0,3.0,A
NOR1,16/07/2023,Lillestrøm SK,Sandefjord Fotball,4,2,3.0,1.0,H
NOR1,16/07/2023,FK Bodø/Glimt,FK Haugesund,2,1,0.0,1.0,H
NOR1,16/07/2023,Aalesunds FK,Odds BK,0,3,0.0,0.0,A
NOR1,16/07/2023,Rosenborg BK,Tromsø IL,2,1,1.0,0.0,H
NOR1,19/07/2023,Lillestrøm SK,Aalesunds FK,5,1,2.0,1.0,H
NOR1,22/07/2023,Molde FK,Sarpsborg 08,5,1,2.0,1.0,H
NOR1,23/07/2023,Hamarkameratene,Stabæk IF,3,2,1.0,0.0,H
NOR1,23/07/2023,Odds BK,Vålerenga IF,2,1,1.0,0.0,H
NOR1,23/07/2023,Sandefjord Fotball,FK Bodø/Glimt,2,5,2.0,3.0,A
NOR1,23/07/2023,Tromsø IL,SK Brann,3,1,1.0,0.0,H
NOR1,23/07/2023,Strømsgodset IF,Rosenborg BK,0,1,0.0,1.0,A
NOR1,23/07/2023,FK Haugesund,Lillestrøm SK,1,0,0.0,0.0,H
NOR1,24/07/2023,Viking FK,Aalesunds FK,3,1,1.0,1.0,H
NOR1,29/07/2023,Vålerenga IF,Sandefjord Fotball,2,3,0.0,0.0,A
NOR1,29/07/2023,Stabæk IF,Molde FK,0,1,0.0,0.0,A
NOR1,30/07/2023,Aalesunds FK,Strømsgodset IF,1,0,0.0,0.0,H
NOR1,30/07/2023,SK Brann,Viking FK,0,2,0.0,1.0,A
NOR1,30/07/2023,Lillestrøm SK,Hamarkameratene,3,1,2.0,1.0,H
NOR1,30/07/2023,Rosenborg BK,Odds BK,3,2,0.0,2.0,H
NOR1,30/07/2023,Sarpsborg 08,FK Haugesund,2,1,0.0,1.0,H
NOR1,30/07/2023,FK Bodø/Glimt,Tromsø IL,0,2,0.0,1.0,A
NOR1,05/08/2023,Strømsgodset IF,Vålerenga IF,1,3,1.0,1.0,A
NOR1,06/08/2023,Hamarkameratene,SK Brann,0,2,0.0,2.0,A
NOR1,06/08/2023,Odds BK,Stabæk IF,4,0,2.0,0.0,H
NOR1,06/08/2023,Sandefjord Fotball,Sarpsborg 08,5,1,2.0,1.0,H
NOR1,06/08/2023,Tromsø IL,Lillestrøm SK,3,1,0.0,1.0,H
NOR1,06/08/2023,Viking FK,FK Bodø/Glimt,3,2,2.0,2.0,H
NOR1,06/08/2023,FK Haugesund,Rosenborg BK,1,2,1.0,0.0,A
NOR1,12/08/2023,Sandefjord Fotball,Molde FK,2,2,1.0,0.0,D
NOR1,12/08/2023,Sarpsborg 08,Strømsgodset IF,1,2,1.0,0.0,A
NOR1,13/08/2023,Aalesunds FK,Hamarkameratene,0,2,0.0,1.0,A
NOR1,13/08/2023,Lillestrøm SK,Viking FK,1,3,0.0,0.0,A
NOR1,13/08/2023,Vålerenga IF,FK Haugesund,1,1,0.0,1.0,D
NOR1,19/08/2023,Molde FK,Vålerenga IF,0,0,,,D
NOR1,19/08/2023,Odds BK,Sarpsborg 08,0,3,0.0,1.0,A
NOR1,20/08/2023,SK Brann,Aalesunds FK,5,1,3.0,0.0,H
NOR1,20/08/2023,FK Haugesund,FK Bodø/Glimt,1,3,0.0,0.0,A
NOR1,20/08/2023,Hamarkameratene,Rosenborg BK,3,0,2.0,0.0,H
NOR1,20/08/2023,Tromsø IL,Sandefjord Fotball,1,0,0.0,0.0,H
NOR1,20/08/2023,Viking FK,Stabæk IF,1,0,0.0,0.0,H
NOR1,20/08/2023,Strømsgodset IF,Lillestrøm SK,1,2,0.0,1.0,A
NOR1,26/08/2023,Sarpsborg 08,Tromsø IL,4,0,1.0,0.0,H
NOR1,27/08/2023,Rosenborg BK,Aalesunds FK,4,0,2.0,0.0,H
NOR1,27/08/2023,Vålerenga IF,Odds BK,2,2,2.0,1.0,D
NOR1,27/08/2023,Sandefjord Fotball,FK Haugesund,0,0,,,D
NOR1,02/09/2023,Viking FK,Vålerenga IF,1,1,0.0,0.0,D
NOR1,03/09/2023,Aalesunds FK,Lillestrøm SK,1,1,0.0,1.0,D
NOR1,03/09/2023,Strømsgodset IF,Stabæk IF,2,1,1.0,1.0,H
NOR1,03/09/2023,Odds BK,Sandefjord Fotball,3,2,2.0,2.0,H
NOR1,03/09/2023,SK Brann,Sarpsborg 08,1,0,0.0,0.0,H
