Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
RW1,18/08/2023,Gasogi United,Rayon Sports,1,2,,,A
RW1,20/08/2023,Amagaju FC,Mukura VS,1,1,,,D
RW1,20/08/2023,Etincelles FC,Gorilla FC,1,1,,,D
RW1,20/08/2023,Police FC,Sunrise FC,2,0,,,H
RW1,20/08/2023,Kiyovu Sports,Muhazi United FC,0,0,,,D
RW1,21/08/2023,AS Kigali,Bugesera FC,1,0,,,H
RW1,25/08/2023,Gasogi United,Muhazi United FC,2,0,,,H
RW1,26/08/2023,Kiyovu Sports,AS Kigali,2,0,,,H
RW1,26/08/2023,Mukura VS,Marines FC,1,0,,,H
RW1,26/08/2023,Musanze FC,Bugesera FC,1,0,,,H
RW1,27/08/2023,Gorilla FC,Rayon Sports,0,0,,,D
RW1,28/08/2023,Amagaju FC,Etincelles FC,2,0,,,H
RW1,28/08/2023,APR FC,Police FC,1,0,,,H
RW1,01/09/2023,Rayon Sports,Amagaju FC,1,1,,,D
RW1,02/09/2023,Bugesera FC,Kiyovu Sports,4,0,,,H
RW1,02/09/2023,Musanze FC,Sunrise FC,2,1,,,H
RW1,02/09/2023,AS Kigali,Gasogi United,1,2,,,A
RW1,02/09/2023,Marines FC,Etincelles FC,1,0,,,H
RW1,03/09/2023,Muhazi United FC,Gorilla FC,1,1,,,D
RW1,03/09/2023,Police FC,Mukura VS,1,1,,,D
RW1,15/09/2023,Gasogi United,Kiyovu Sports,1,1,,,D
RW1,16/09/2023,Amagaju FC,Muhazi United FC,2,0,,,H
RW1,16/09/2023,Sunrise FC,Bugesera FC,1,0,,,H
RW1,17/09/2023,Etincelles FC,Police FC,1,0,,,H
RW1,18/09/2023,Gorilla FC,AS Kigali,0,0,,,D
RW1,23/09/2023,Marines FC,APR FC,2,2,,,D
RW1,30/09/2023,Bugesera FC,Gasogi United,3,0,,,H
RW1,30/09/2023,Musanze FC,Mukura VS,0,0,,,D
RW1,01/10/2023,AS Kigali,Amagaju FC,1,1,,,D
RW1,01/10/2023,Muhazi United FC,Marines FC,0,0,,,D
RW1,02/10/2023,Kiyovu Sports,Gorilla FC,1,0,,,H
RW1,06/10/2023,APR FC,Musanze FC,2,1,,,H
RW1,07/10/2023,Marines FC,Rayon Sports,2,2,,,D
RW1,10/10/2023,Etincelles FC,Musanze FC,0,3,,,A
RW1,10/10/2023,Mukura VS,Sunrise FC,1,0,,,H
RW1,10/10/2023,Gorilla FC,Gasogi United,2,2,,,D
RW1,10/10/2023,APR FC,Bugesera FC,1,1,,,D
RW1,11/10/2023,Amagaju FC,Kiyovu Sports,1,1,,,D
RW1,11/10/2023,Police FC,Muhazi United FC,2,1,,,H
RW1,11/10/2023,Marines FC,AS Kigali,0,1,,,A
RW1,13/10/2023,APR FC,Mukura VS,1,0,,,H
RW1,14/10/2023,Bugesera FC,Gorilla FC,2,2,,,D
RW1,14/10/2023,Kiyovu Sports,Marines FC,2,1,,,H
RW1,14/10/2023,Sunrise FC,Etincelles FC,0,1,,,A
RW1,14/10/2023,Gasogi United,Amagaju FC,0,1,,,A
RW1,15/10/2023,Musanze FC,Rayon Sports,1,0,,,H
RW1,15/10/2023,AS Kigali,Police FC,0,1,,,A
RW1,20/10/2023,Police FC,Kiyovu Sports,3,1,,,H
RW1,21/10/2023,Rayon Sports,Sunrise FC,3,0,,,H
RW1,21/10/2023,Mukura VS,Bugesera FC,2,1,,,H
RW1,21/10/2023,Muhazi United FC,Musanze FC,1,1,,,D
RW1,21/10/2023,Marines FC,Gasogi United,0,1,,,A
RW1,22/10/2023,Etincelles FC,APR FC,0,3,,,A
RW1,22/10/2023,Amagaju FC,Gorilla FC,0,1,,,A
RW1,27/10/2023,Gorilla FC,Marines FC,2,3,,,A
RW1,28/10/2023,Gasogi United,Police FC,0,1,,,A
RW1,28/10/2023,Bugesera FC,Amagaju FC,2,2,,,D
RW1,28/10/2023,Mukura VS,Etincelles FC,1,0,,,H
RW1,29/10/2023,APR FC,Rayon Sports,0,0,,,D
RW1,29/10/2023,Sunrise FC,Muhazi United FC,1,2,,,A
RW1,29/10/2023,Musanze FC,AS Kigali,1,0,,,H
RW1,03/11/2023,Police FC,Gorilla FC,1,0,,,H
RW1,04/11/2023,Musanze FC,Kiyovu Sports,1,0,,,H
RW1,04/11/2023,Marines FC,Amagaju FC,1,0,,,H
RW1,04/11/2023,Rayon Sports,Mukura VS,4,1,,,H
RW1,04/11/2023,Muhazi United FC,APR FC,1,2,,,A
RW1,05/11/2023,AS Kigali,Sunrise FC,0,1,,,A
RW1,05/11/2023,Etincelles FC,Bugesera FC,3,2,,,H
RW1,25/11/2023,APR FC,AS Kigali,1,1,,,D
RW1,25/11/2023,Amagaju FC,Police FC,1,2,,,A
RW1,25/11/2023,Etincelles FC,Rayon Sports,1,1,,,D
RW1,25/11/2023,Bugesera FC,Marines FC,0,1,,,A
RW1,26/11/2023,Sunrise FC,Kiyovu Sports,0,0,,,D
RW1,26/11/2023,Gasogi United,Musanze FC,2,0,,,H
RW1,26/11/2023,Mukura VS,Muhazi United FC,0,0,,,D
RW1,28/11/2023,Police FC,Rayon Sports,1,2,,,A
RW1,29/11/2023,Sunrise FC,APR FC,0,1,,,A
RW1,01/12/2023,Rayon Sports,Bugesera FC,1,0,,,H
RW1,02/12/2023,Kiyovu Sports,APR FC,1,1,,,D
RW1,02/12/2023,Police FC,Marines FC,2,1,,,H
RW1,02/12/2023,Musanze FC,Gorilla FC,0,1,,,A
RW1,02/12/2023,Sunrise FC,Gasogi United,0,1,,,A
RW1,03/12/2023,AS Kigali,Mukura VS,1,1,,,D
RW1,03/12/2023,Muhazi United FC,Etincelles FC,3,1,,,H
RW1,05/12/2023,Amagaju FC,Musanze FC,0,2,,,A
RW1,05/12/2023,Bugesera FC,Police FC,4,2,,,H
RW1,05/12/2023,Gorilla FC,Sunrise FC,0,2,,,A
RW1,05/12/2023,APR FC,Gasogi United,0,0,,,D
RW1,06/12/2023,Etincelles FC,AS Kigali,4,2,,,H
RW1,06/12/2023,Mukura VS,Kiyovu Sports,4,1,,,H
RW1,06/12/2023,Rayon Sports,Muhazi United FC,2,0,,,H
RW1,08/12/2023,Sunrise FC,Amagaju FC,2,1,,,H
RW1,08/12/2023,Gorilla FC,APR FC,1,4,,,A
RW1,09/12/2023,AS Kigali,Rayon Sports,2,1,,,H
RW1,09/12/2023,Gasogi United,Mukura VS,2,4,,,A
RW1,09/12/2023,Muhazi United FC,Bugesera FC,1,0,,,H
RW1,09/12/2023,Musanze FC,Marines FC,4,0,,,H
RW1,09/12/2023,Kiyovu Sports,Etincelles FC,2,1,,,H
RW1,11/12/2023,Amagaju FC,APR FC,1,3,,,A
RW1,12/12/2023,Police FC,Musanze FC,3,0,,,H
RW1,12/12/2023,Muhazi United FC,AS Kigali,0,0,,,D
RW1,12/12/2023,Marines FC,Sunrise FC,1,1,,,D
RW1,12/12/2023,Mukura VS,Gorilla FC,0,1,,,A
RW1,12/12/2023,Rayon Sports,Kiyovu Sports,1,1,,,D
