Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
TZ1,15/08/2023,Ihefu FC,Geita Gold FC,0,1,,,A
TZ1,15/08/2023,Namungo FC,JKT Tanzania FC,0,1,,,A
TZ1,15/08/2023,Dodoma Jiji FC,Coastal Union FC,2,1,,,H
TZ1,16/08/2023,Mashujaa FC,Kagera Sugar FC,2,0,,,H
TZ1,16/08/2023,Azam FC,Tabora United FC,4,0,,,H
TZ1,17/08/2023,Mtibwa Sugar FC,Simba SC,2,4,,,A
TZ1,19/08/2023,Ihefu FC,Kagera Sugar FC,1,0,,,H
TZ1,19/08/2023,Namungo FC,KMC FC,1,1,,,D
TZ1,20/08/2023,Mtibwa Sugar FC,Coastal Union FC,1,1,,,D
TZ1,20/08/2023,Simba SC,Dodoma Jiji FC,2,0,,,H
TZ1,21/08/2023,Mashujaa FC,Geita Gold FC,0,0,,,D
TZ1,22/08/2023,Singida Big Stars FC,Tanzania Prisons FC,0,0,,,D
TZ1,23/08/2023,Young Africans SC,KMC FC,5,0,,,H
TZ1,28/08/2023,Azam FC,Tanzania Prisons FC,3,1,,,H
TZ1,29/08/2023,Young Africans SC,JKT Tanzania FC,5,0,,,H
TZ1,31/08/2023,Singida Big Stars FC,Tabora United FC,0,0,,,D
TZ1,15/09/2023,Tabora United FC,Tanzania Prisons FC,3,1,,,H
TZ1,15/09/2023,KMC FC,JKT Tanzania FC,2,1,,,H
TZ1,15/09/2023,Dodoma Jiji FC,Mtibwa Sugar FC,1,1,,,D
TZ1,16/09/2023,Mashujaa FC,Ihefu FC,2,0,,,H
TZ1,17/09/2023,Kagera Sugar FC,Geita Gold FC,1,0,,,H
TZ1,20/09/2023,Young Africans SC,Namungo FC,1,0,,,H
TZ1,21/09/2023,Simba SC,Coastal Union FC,3,0,,,H
TZ1,21/09/2023,Azam FC,Singida Big Stars FC,2,1,,,H
TZ1,29/09/2023,JKT Tanzania FC,Kagera Sugar FC,1,1,,,D
TZ1,29/09/2023,Coastal Union FC,Tabora United FC,0,0,,,D
TZ1,30/09/2023,Geita Gold FC,KMC FC,1,2,,,A
TZ1,30/09/2023,Namungo FC,Mashujaa FC,0,0,,,D
TZ1,03/10/2023,Dodoma Jiji FC,Azam FC,0,0,,,D
TZ1,03/10/2023,JKT Tanzania FC,Mashujaa FC,1,0,,,H
TZ1,04/10/2023,Kagera Sugar FC,Namungo FC,1,1,,,D
TZ1,04/10/2023,Ihefu FC,Young Africans SC,2,1,,,H
TZ1,05/10/2023,Mtibwa Sugar FC,Singida Big Stars FC,0,1,,,A
TZ1,05/10/2023,Tanzania Prisons FC,Simba SC,1,3,,,A
TZ1,06/10/2023,Coastal Union FC,Azam FC,0,1,,,A
TZ1,06/10/2023,Tabora United FC,Dodoma Jiji FC,2,1,,,H
TZ1,07/10/2023,Geita Gold FC,Young Africans SC,0,3,,,A
TZ1,07/10/2023,KMC FC,Ihefu FC,1,0,,,H
TZ1,08/10/2023,Tanzania Prisons FC,Mtibwa Sugar FC,3,2,,,H
TZ1,08/10/2023,Singida Big Stars FC,Simba SC,1,2,,,A
TZ1,19/10/2023,Mtibwa Sugar FC,Kagera Sugar FC,0,2,,,A
TZ1,21/10/2023,Geita Gold FC,Dodoma Jiji FC,2,2,,,D
TZ1,21/10/2023,Ihefu FC,Coastal Union FC,0,0,,,D
TZ1,21/10/2023,Namungo FC,Singida Big Stars FC,2,3,,,A
TZ1,22/10/2023,Tabora United FC,KMC FC,0,0,,,D
TZ1,22/10/2023,Tanzania Prisons FC,JKT Tanzania FC,1,1,,,D
TZ1,23/10/2023,Young Africans SC,Azam FC,3,2,,,H
TZ1,25/10/2023,Coastal Union FC,Mashujaa FC,2,0,,,H
TZ1,25/10/2023,Dodoma Jiji FC,Kagera Sugar FC,1,0,,,H
TZ1,25/10/2023,JKT Tanzania FC,Tabora United FC,1,0,,,H
TZ1,26/10/2023,Mtibwa Sugar FC,Geita Gold FC,3,1,,,H
TZ1,27/10/2023,KMC FC,Tanzania Prisons FC,1,1,,,D
TZ1,27/10/2023,Young Africans SC,Singida Big Stars FC,2,0,,,H
TZ1,27/10/2023,Azam FC,Namungo FC,1,3,,,A
TZ1,28/10/2023,Simba SC,Ihefu FC,2,1,,,H
TZ1,30/10/2023,JKT Tanzania FC,Dodoma Jiji FC,0,1,,,A
TZ1,30/10/2023,Tanzania Prisons FC,Geita Gold FC,0,0,,,D
TZ1,30/10/2023,Kagera Sugar FC,Tabora United FC,0,0,,,D
TZ1,31/10/2023,KMC FC,Mtibwa Sugar FC,1,0,,,H
TZ1,01/11/2023,Coastal Union FC,Namungo FC,0,0,,,D
TZ1,01/11/2023,Mashujaa FC,Azam FC,0,3,,,A
TZ1,01/11/2023,Singida Big Stars FC,Ihefu FC,2,2,,,D
TZ1,03/11/2023,KMC FC,Dodoma Jiji FC,1,2,,,A
TZ1,03/11/2023,Mtibwa Sugar FC,JKT Tanzania FC,1,2,,,A
TZ1,03/11/2023,Kagera Sugar FC,Tanzania Prisons FC,2,1,,,H
TZ1,04/11/2023,Ihefu FC,Azam FC,1,3,,,A
TZ1,05/11/2023,Simba SC,Young Africans SC,1,5,,,A
TZ1,06/11/2023,Geita Gold FC,Tabora United FC,0,0,,,D
TZ1,06/11/2023,Mashujaa FC,Singida Big Stars FC,1,3,,,A
TZ1,08/11/2023,Coastal Union FC,Young Africans SC,0,1,,,A
TZ1,09/11/2023,Simba SC,Namungo FC,1,1,,,D
TZ1,22/11/2023,Geita Gold FC,JKT Tanzania FC,1,0,,,H
TZ1,22/11/2023,Kagera Sugar FC,KMC FC,1,1,,,D
TZ1,23/11/2023,Tanzania Prisons FC,Coastal Union FC,0,1,,,A
TZ1,23/11/2023,Namungo FC,Ihefu FC,2,0,,,H
TZ1,24/11/2023,Dodoma Jiji FC,Singida Big Stars FC,1,2,,,A
TZ1,24/11/2023,Azam FC,Mtibwa Sugar FC,5,0,,,H
TZ1,26/11/2023,Geita Gold FC,Namungo FC,1,0,,,H
TZ1,26/11/2023,JKT Tanzania FC,Ihefu FC,1,1,,,D
TZ1,27/11/2023,Singida Big Stars FC,Coastal Union FC,2,1,,,H
TZ1,29/11/2023,Tanzania Prisons FC,Dodoma Jiji FC,1,0,,,H
TZ1,30/11/2023,Coastal Union FC,Geita Gold FC,3,1,,,H
TZ1,01/12/2023,Tabora United FC,Mtibwa Sugar FC,2,1,,,H
TZ1,01/12/2023,Singida Big Stars FC,JKT Tanzania FC,2,2,,,D
TZ1,02/12/2023,KMC FC,Mashujaa FC,3,2,,,H
TZ1,03/12/2023,Namungo FC,Dodoma Jiji FC,1,0,,,H
TZ1,04/12/2023,Ihefu FC,Tanzania Prisons FC,0,0,,,D
TZ1,05/12/2023,Mashujaa FC,Tabora United FC,1,1,,,D
TZ1,07/12/2023,Azam FC,KMC FC,5,0,,,H
TZ1,07/12/2023,Namungo FC,Mtibwa Sugar FC,1,0,,,H
TZ1,08/12/2023,Ihefu FC,Tabora United FC,2,1,,,H
TZ1,08/12/2023,Mashujaa FC,Tanzania Prisons FC,0,2,,,A
TZ1,09/12/2023,Coastal Union FC,Kagera Sugar FC,1,0,,,H
TZ1,11/12/2023,Azam FC,JKT Tanzania FC,2,1,,,H
TZ1,11/12/2023,Singida Big Stars FC,KMC FC,0,0,,,D
TZ1,15/12/2023,Simba SC,Kagera Sugar FC,3,0,,,H
TZ1,16/12/2023,Young Africans SC,Mtibwa Sugar FC,4,1,,,H
TZ1,18/12/2023,Dodoma Jiji FC,Ihefu FC,1,0,,,H
TZ1,18/12/2023,JKT Tanzania FC,Coastal Union FC,0,1,,,A
TZ1,19/12/2023,Mtibwa Sugar FC,Mashujaa FC,2,1,,,H
TZ1,21/12/2023,Kagera Sugar FC,Azam FC,0,4,,,A
TZ1,21/12/2023,Geita Gold FC,Singida Big Stars FC,1,0,,,H
TZ1,21/12/2023,Tanzania Prisons FC,Namungo FC,1,0,,,H
TZ1,23/12/2023,KMC FC,Simba SC,2,2,,,D
TZ1,23/12/2023,Tabora United FC,Young Africans SC,0,1,,,A
TZ1,02/02/2024,Kagera Sugar FC,Young Africans SC,0,0,,,D
TZ1,03/02/2024,Mashujaa FC,Simba SC,0,1,,,A
TZ1,05/02/2024,Young Africans SC,Dodoma Jiji FC,1,0,,,H
TZ1,06/02/2024,Tabora United FC,Simba SC,0,4,,,A
TZ1,08/02/2024,Young Africans SC,Mashujaa FC,2,1,,,H
TZ1,09/02/2024,Simba SC,Azam FC,1,1,,,D
TZ1,11/02/2024,Tabora United FC,Namungo FC,1,1,,,D
TZ1,11/02/2024,Tanzania Prisons FC,Young Africans SC,1,2,,,A
TZ1,11/02/2024,Dodoma Jiji FC,Mashujaa FC,1,1,,,D
TZ1,12/02/2024,Geita Gold FC,Simba SC,0,1,,,A
TZ1,12/02/2024,Mtibwa Sugar FC,Ihefu FC,2,3,,,A
TZ1,12/02/2024,Kagera Sugar FC,Singida Big Stars FC,1,0,,,H
TZ1,12/02/2024,KMC FC,Coastal Union FC,0,0,,,D
TZ1,15/02/2024,Coastal Union FC,Dodoma Jiji FC,1,0,,,H
TZ1,15/02/2024,Tanzania Prisons FC,Singida Big Stars FC,3,1,,,H
TZ1,15/02/2024,JKT Tanzania FC,Simba SC,0,1,,,A
TZ1,16/02/2024,Kagera Sugar FC,Mashujaa FC,1,1,,,D
TZ1,16/02/2024,Azam FC,Geita Gold FC,2,1,,,H
TZ1,17/02/2024,KMC FC,Young Africans SC,0,3,,,A
TZ1,18/02/2024,JKT Tanzania FC,Namungo FC,0,0,,,D
TZ1,19/02/2024,Tabora United FC,Azam FC,0,0,,,D
TZ1,19/02/2024,Geita Gold FC,Ihefu FC,1,2,,,A
TZ1,24/02/2024,Coastal Union FC,Mtibwa Sugar FC,1,0,,,H
TZ1,24/02/2024,KMC FC,Namungo FC,2,2,,,D
TZ1,25/02/2024,Tabora United FC,Singida Big Stars FC,1,1,,,D
TZ1,25/02/2024,Tanzania Prisons FC,Azam FC,1,1,,,D
TZ1,25/02/2024,Geita Gold FC,Mashujaa FC,1,3,,,A
TZ1,25/02/2024,Kagera Sugar FC,Ihefu FC,2,1,,,H
TZ1,27/02/2024,Mtibwa Sugar FC,Dodoma Jiji FC,0,0,,,D
TZ1,27/02/2024,JKT Tanzania FC,KMC FC,1,1,,,D
TZ1,28/02/2024,Ihefu FC,Mashujaa FC,1,1,,,D
TZ1,28/02/2024,Tanzania Prisons FC,Tabora United FC,2,1,,,H
TZ1,28/02/2024,Singida Big Stars FC,Azam FC,0,1,,,A
TZ1,28/02/2024,Geita Gold FC,Kagera Sugar FC,0,0,,,D
TZ1,02/03/2024,KMC FC,Geita Gold FC,1,1,,,D
TZ1,02/03/2024,Kagera Sugar FC,JKT Tanzania FC,1,1,,,D
TZ1,02/03/2024,Mashujaa FC,Namungo FC,1,0,,,H
TZ1,02/03/2024,Singida Big Stars FC,Mtibwa Sugar FC,0,2,,,A
TZ1,03/03/2024,Azam FC,Dodoma Jiji FC,4,1,,,H
TZ1,03/03/2024,Tabora United FC,Coastal Union FC,1,0,,,H
TZ1,05/03/2024,Ihefu FC,KMC FC,1,0,,,H
TZ1,05/03/2024,Namungo FC,Kagera Sugar FC,1,0,,,H
TZ1,06/03/2024,Mashujaa FC,JKT Tanzania FC,1,0,,,H
TZ1,06/03/2024,Azam FC,Coastal Union FC,1,1,,,D
TZ1,06/03/2024,Dodoma Jiji FC,Tabora United FC,1,0,,,H
TZ1,06/03/2024,Simba SC,Tanzania Prisons FC,1,2,,,A
TZ1,08/03/2024,Namungo FC,Young Africans SC,1,3,,,A
TZ1,09/03/2024,Coastal Union FC,Simba SC,1,2,,,A
TZ1,09/03/2024,Dodoma Jiji FC,Geita Gold FC,0,1,,,A
TZ1,09/03/2024,Mtibwa Sugar FC,Tanzania Prisons FC,2,1,,,H
TZ1,10/03/2024,KMC FC,Tabora United FC,4,2,,,H
TZ1,11/03/2024,Young Africans SC,Ihefu FC,5,0,,,H
TZ1,12/03/2024,Simba SC,Singida Big Stars FC,3,1,,,H
TZ1,13/03/2024,JKT Tanzania FC,Tanzania Prisons FC,1,1,,,D
TZ1,13/03/2024,Kagera Sugar FC,Mtibwa Sugar FC,0,0,,,D
TZ1,14/03/2024,Young Africans SC,Geita Gold FC,1,0,,,H
