Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
UG1,15/09/2023,Bright Stars FC,BUL FC,0,1,,,A
UG1,15/09/2023,SC Villa,Kitara FC,1,2,,,A
UG1,15/09/2023,Mbarara City FC,NEC FC,0,1,,,A
UG1,16/09/2023,UPDF FC,URA FC,0,0,,,D
UG1,16/09/2023,Wakiso Giants FC,Maroons FC,0,3,,,A
UG1,16/09/2023,Gaddafi Modern FC,Vipers SC,1,2,,,A
UG1,16/09/2023,Arua Hill SC,Busoga United FC,0,1,,,A
UG1,21/09/2023,Vipers SC,Arua Hill SC,2,0,,,H
UG1,22/09/2023,URA FC,Gaddafi Modern FC,2,0,,,H
UG1,22/09/2023,NEC FC,Busoga United FC,5,0,,,H
UG1,22/09/2023,Kitara FC,UPDF FC,1,0,,,H
UG1,23/09/2023,BUL FC,KCCA FC,1,0,,,H
UG1,23/09/2023,Express FC,Mbarara City FC,0,0,,,D
UG1,23/09/2023,Wakiso Giants FC,Bright Stars FC,1,1,,,D
UG1,24/09/2023,Maroons FC,SC Villa,1,1,,,D
UG1,28/09/2023,Bright Stars FC,URA FC,1,1,,,D
UG1,28/09/2023,Busoga United FC,Express FC,0,2,,,A
UG1,29/09/2023,SC Villa,NEC FC,3,0,,,H
UG1,29/09/2023,UPDF FC,Wakiso Giants FC,0,2,,,A
UG1,29/09/2023,Gaddafi Modern FC,Kitara FC,1,2,,,A
UG1,01/10/2023,Arua Hill SC,BUL FC,1,2,,,A
UG1,03/10/2023,Mbarara City FC,Vipers SC,0,0,,,D
UG1,03/10/2023,KCCA FC,Maroons FC,1,2,,,A
UG1,08/10/2023,KCCA FC,Express FC,1,2,,,A
UG1,19/10/2023,Busoga United FC,Mbarara City FC,0,0,,,D
UG1,20/10/2023,BUL FC,Maroons FC,3,0,,,H
UG1,20/10/2023,NEC FC,UPDF FC,2,0,,,H
UG1,20/10/2023,Vipers SC,SC Villa,1,1,,,D
UG1,20/10/2023,Arua Hill SC,Gaddafi Modern FC,0,1,,,A
UG1,20/10/2023,Kitara FC,KCCA FC,3,1,,,H
UG1,21/10/2023,URA FC,Wakiso Giants FC,1,0,,,H
UG1,21/10/2023,Express FC,Bright Stars FC,1,0,,,H
UG1,24/10/2023,Gaddafi Modern FC,Busoga United FC,0,1,,,A
UG1,24/10/2023,SC Villa,BUL FC,1,2,,,A
UG1,25/10/2023,Mbarara City FC,Arua Hill SC,1,0,,,H
UG1,25/10/2023,Wakiso Giants FC,Kitara FC,1,3,,,A
UG1,26/10/2023,KCCA FC,NEC FC,0,2,,,A
UG1,27/10/2023,UPDF FC,Express FC,1,1,,,D
UG1,27/10/2023,Maroons FC,URA FC,1,1,,,D
UG1,27/10/2023,Bright Stars FC,Vipers SC,0,2,,,A
UG1,31/10/2023,Arua Hill SC,KCCA FC,1,1,,,D
UG1,31/10/2023,Vipers SC,Wakiso Giants FC,3,0,,,H
UG1,31/10/2023,Mbarara City FC,Bright Stars FC,1,1,,,D
UG1,31/10/2023,BUL FC,URA FC,1,0,,,H
UG1,01/11/2023,NEC FC,Gaddafi Modern FC,0,3,,,A
UG1,01/11/2023,Busoga United FC,UPDF FC,0,2,,,A
UG1,01/11/2023,Kitara FC,Maroons FC,0,1,,,A
UG1,09/11/2023,SC Villa,Arua Hill SC,3,1,,,H
UG1,09/11/2023,UPDF FC,BUL FC,2,0,,,H
UG1,10/11/2023,Bright Stars FC,Busoga United FC,3,2,,,H
UG1,10/11/2023,KCCA FC,Vipers SC,3,1,,,H
UG1,10/11/2023,URA FC,Kitara FC,2,2,,,D
UG1,11/11/2023,Gaddafi Modern FC,Mbarara City FC,2,1,,,H
UG1,11/11/2023,Maroons FC,NEC FC,0,1,,,A
UG1,17/11/2023,Wakiso Giants FC,Express FC,0,0,,,D
UG1,23/11/2023,Gaddafi Modern FC,Bright Stars FC,2,2,,,D
UG1,23/11/2023,Vipers SC,URA FC,2,0,,,H
UG1,24/11/2023,Arua Hill SC,UPDF FC,2,0,,,H
UG1,24/11/2023,Express FC,Maroons FC,0,1,,,A
UG1,24/11/2023,Busoga United FC,KCCA FC,2,1,,,H
UG1,25/11/2023,NEC FC,Wakiso Giants FC,1,1,,,D
UG1,25/11/2023,Mbarara City FC,SC Villa,0,0,,,D
UG1,26/11/2023,BUL FC,Kitara FC,2,1,,,H
UG1,30/11/2023,Bright Stars FC,Arua Hill SC,3,1,,,H
UG1,30/11/2023,SC Villa,Busoga United FC,2,0,,,H
UG1,01/12/2023,URA FC,Express FC,2,1,,,H
UG1,01/12/2023,Wakiso Giants FC,BUL FC,0,3,,,A
UG1,01/12/2023,KCCA FC,Gaddafi Modern FC,6,1,,,H
UG1,02/12/2023,Kitara FC,NEC FC,1,0,,,H
UG1,02/12/2023,Maroons FC,Mbarara City FC,1,0,,,H
UG1,03/12/2023,UPDF FC,Vipers SC,0,1,,,A
UG1,05/12/2023,Express FC,BUL FC,1,1,,,D
UG1,05/12/2023,Bright Stars FC,SC Villa,1,1,,,D
UG1,05/12/2023,Arua Hill SC,Wakiso Giants FC,2,2,,,D
UG1,06/12/2023,NEC FC,URA FC,2,0,,,H
UG1,06/12/2023,Busoga United FC,Maroons FC,1,1,,,D
UG1,06/12/2023,Mbarara City FC,KCCA FC,2,1,,,H
UG1,07/12/2023,Gaddafi Modern FC,UPDF FC,2,1,,,H
UG1,07/12/2023,Vipers SC,Kitara FC,2,1,,,H
UG1,08/12/2023,Express FC,SC Villa,1,2,,,A
UG1,10/12/2023,Wakiso Giants FC,Busoga United FC,3,0,,,H
UG1,10/12/2023,URA FC,Arua Hill SC,4,1,,,H
UG1,10/12/2023,BUL FC,NEC FC,1,1,,,D
UG1,11/12/2023,UPDF FC,Mbarara City FC,1,1,,,D
UG1,12/12/2023,KCCA FC,Bright Stars FC,3,0,,,H
UG1,12/12/2023,Kitara FC,Express FC,1,0,,,H
UG1,13/12/2023,Maroons FC,Vipers SC,1,1,,,D
UG1,13/12/2023,SC Villa,Gaddafi Modern FC,1,0,,,H
UG1,20/12/2023,Mbarara City FC,Kitara FC,0,0,,,D
UG1,20/12/2023,Arua Hill SC,Maroons FC,1,3,,,A
UG1,21/12/2023,Busoga United FC,URA FC,2,2,,,D
UG1,21/12/2023,NEC FC,Express FC,2,5,,,A
UG1,22/12/2023,SC Villa,KCCA FC,1,2,,,A
UG1,22/12/2023,Bright Stars FC,UPDF FC,2,1,,,H
UG1,22/12/2023,Vipers SC,BUL FC,2,3,,,A
UG1,23/12/2023,Gaddafi Modern FC,Wakiso Giants FC,0,1,,,A
UG1,28/12/2023,UPDF FC,KCCA FC,1,2,,,A
UG1,28/12/2023,Kitara FC,Arua Hill SC,7,1,,,H
UG1,28/12/2023,BUL FC,Busoga United FC,1,0,,,H
UG1,29/12/2023,URA FC,Mbarara City FC,3,0,,,H
UG1,29/12/2023,NEC FC,Bright Stars FC,0,0,,,D
UG1,30/12/2023,Wakiso Giants FC,SC Villa,0,1,,,A
UG1,30/12/2023,Express FC,Vipers SC,2,0,,,H
UG1,30/12/2023,Maroons FC,Gaddafi Modern FC,5,0,,,H
UG1,02/01/2024,SC Villa,UPDF FC,3,0,,,H
UG1,02/01/2024,Bright Stars FC,Maroons FC,1,0,,,H
UG1,02/01/2024,KCCA FC,URA FC,3,2,,,H
UG1,02/01/2024,Busoga United FC,Kitara FC,2,1,,,H
UG1,02/01/2024,Mbarara City FC,Wakiso Giants FC,2,1,,,H
UG1,03/01/2024,Arua Hill SC,Express FC,0,1,,,A
UG1,03/01/2024,Gaddafi Modern FC,BUL FC,2,1,,,H
UG1,03/01/2024,Vipers SC,NEC FC,4,1,,,H
UG1,05/01/2024,Kitara FC,Bright Stars FC,3,1,,,H
UG1,05/01/2024,Maroons FC,UPDF FC,4,2,,,H
UG1,06/01/2024,Express FC,Gaddafi Modern FC,3,0,,,H
UG1,06/01/2024,NEC FC,Arua Hill SC,2,1,,,H
UG1,06/01/2024,Wakiso Giants FC,KCCA FC,2,1,,,H
UG1,06/01/2024,BUL FC,Mbarara City FC,1,1,,,D
UG1,07/01/2024,URA FC,SC Villa,0,0,,,D
UG1,07/01/2024,Vipers SC,Busoga United FC,3,0,,,H
UG1,01/02/2024,SC Villa,Maroons FC,2,1,,,H
UG1,02/02/2024,Mbarara City FC,Express FC,3,1,,,H
UG1,02/02/2024,Gaddafi Modern FC,URA FC,0,1,,,A
UG1,02/02/2024,KCCA FC,BUL FC,0,0,,,D
UG1,03/02/2024,UPDF FC,Kitara FC,0,3,,,A
UG1,04/02/2024,Busoga United FC,NEC FC,2,3,,,A
UG1,04/02/2024,Bright Stars FC,Wakiso Giants FC,1,0,,,H
UG1,06/02/2024,URA FC,UPDF FC,1,0,,,H
UG1,07/02/2024,BUL FC,Bright Stars FC,2,1,,,H
UG1,08/02/2024,Vipers SC,Gaddafi Modern FC,0,0,,,D
UG1,08/02/2024,Maroons FC,Wakiso Giants FC,0,0,,,D
UG1,09/02/2024,Kitara FC,SC Villa,1,1,,,D
UG1,09/02/2024,NEC FC,Mbarara City FC,2,0,,,H
UG1,10/02/2024,Express FC,KCCA FC,3,4,,,A
UG1,13/02/2024,UPDF FC,NEC FC,2,2,,,D
UG1,13/02/2024,Wakiso Giants FC,URA FC,1,0,,,H
UG1,22/02/2024,Bright Stars FC,Express FC,1,1,,,D
UG1,22/02/2024,Mbarara City FC,Busoga United FC,1,0,,,H
UG1,23/02/2024,KCCA FC,Kitara FC,0,1,,,A
UG1,23/02/2024,Maroons FC,BUL FC,0,0,,,D
UG1,27/02/2024,Express FC,UPDF FC,3,1,,,H
UG1,27/02/2024,Kitara FC,Wakiso Giants FC,1,0,,,H
UG1,28/02/2024,NEC FC,KCCA FC,0,3,,,A
UG1,29/02/2024,Busoga United FC,Gaddafi Modern FC,1,1,,,D
UG1,29/02/2024,URA FC,Maroons FC,2,0,,,H
UG1,29/02/2024,Vipers SC,Bright Stars FC,1,1,,,D
UG1,08/03/2024,URA FC,BUL FC,1,1,,,D
UG1,08/03/2024,Maroons FC,Kitara FC,0,0,,,D
UG1,08/03/2024,Bright Stars FC,Mbarara City FC,1,1,,,D
UG1,09/03/2024,Gaddafi Modern FC,NEC FC,0,1,,,A
UG1,09/03/2024,SC Villa,Express FC,1,0,,,H
UG1,09/03/2024,UPDF FC,Busoga United FC,2,0,,,H
UG1,10/03/2024,Wakiso Giants FC,Vipers SC,0,4,,,A
UG1,12/03/2024,BUL FC,UPDF FC,0,1,,,A
UG1,13/03/2024,Express FC,Wakiso Giants FC,2,3,,,A
UG1,13/03/2024,Mbarara City FC,Gaddafi Modern FC,5,0,,,H
UG1,13/03/2024,NEC FC,Maroons FC,2,1,,,H
UG1,14/03/2024,Busoga United FC,Bright Stars FC,2,2,,,D
UG1,14/03/2024,Kitara FC,URA FC,3,0,,,H
UG1,15/03/2024,BUL FC,SC Villa,0,1,,,A
UG1,15/03/2024,Vipers SC,KCCA FC,0,1,,,A
UG1,28/03/2024,Maroons FC,Express FC,2,0,,,H
UG1,28/03/2024,KCCA FC,Busoga United FC,4,1,,,H
