Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
UKR1,28/07/2023,FK Obolon,Kolos Kovalivka,0,0,,,D
UKR1,28/07/2023,NK Veres,Polissya Zhytomyr,0,2,0.0,2.0,A
UKR1,29/07/2023,Rukh Lviv,Zorya Lugansk,2,1,0.0,1.0,H
UKR1,29/07/2023,Metalist 1925 Kharkiv,Shakhtar Donetsk,1,2,0.0,1.0,A
UKR1,30/07/2023,FC LNZ Cherkasy,Chernomorets Odessa,0,2,0.0,1.0,A
UKR1,30/07/2023,Dinamo Kiev,FC Mynai,4,1,2.0,1.0,H
UKR1,30/07/2023,FK Oleksandriya,Kryvbas Kryvyi Rih,1,0,1.0,0.0,H
UKR1,02/08/2023,NK Veres,Shakhtar Donetsk,1,1,0.0,1.0,D
UKR1,04/08/2023,FK Obolon,Dinamo Kiev,2,4,1.0,3.0,A
UKR1,05/08/2023,FC Mynai,FC LNZ Cherkasy,0,3,0.0,1.0,A
UKR1,05/08/2023,FK Oleksandriya,Metalist 1925 Kharkiv,1,0,1.0,0.0,H
UKR1,06/08/2023,SK Dnipro-1,Polissya Zhytomyr,2,1,0.0,0.0,H
UKR1,06/08/2023,Kolos Kovalivka,Chernomorets Odessa,2,0,0.0,0.0,H
UKR1,06/08/2023,Zorya Lugansk,Kryvbas Kryvyi Rih,1,3,1.0,1.0,A
UKR1,06/08/2023,Rukh Lviv,Vorskla Poltava,4,1,1.0,1.0,H
UKR1,12/08/2023,Chernomorets Odessa,FK Obolon,2,0,1.0,0.0,H
UKR1,12/08/2023,Kolos Kovalivka,NK Veres,2,0,1.0,0.0,H
UKR1,12/08/2023,Polissya Zhytomyr,Rukh Lviv,0,1,0.0,0.0,A
UKR1,13/08/2023,Kryvbas Kryvyi Rih,FC LNZ Cherkasy,2,0,1.0,0.0,H
UKR1,13/08/2023,FC Mynai,SK Dnipro-1,1,1,0.0,0.0,D
UKR1,13/08/2023,Vorskla Poltava,Zorya Lugansk,1,2,0.0,1.0,A
UKR1,14/08/2023,Shakhtar Donetsk,FK Oleksandriya,2,1,2.0,0.0,H
UKR1,18/08/2023,Zorya Lugansk,FK Oleksandriya,0,0,,,D
UKR1,18/08/2023,FC LNZ Cherkasy,Polissya Zhytomyr,1,2,0.0,0.0,A
UKR1,19/08/2023,NK Veres,Vorskla Poltava,1,2,1.0,2.0,A
UKR1,19/08/2023,Metalist 1925 Kharkiv,FC Mynai,1,0,0.0,0.0,H
UKR1,19/08/2023,Rukh Lviv,Kolos Kovalivka,1,1,0.0,1.0,D
UKR1,20/08/2023,SK Dnipro-1,FK Obolon,1,2,1.0,0.0,A
UKR1,20/08/2023,Chernomorets Odessa,Dinamo Kiev,3,2,1.0,0.0,H
UKR1,20/08/2023,Kryvbas Kryvyi Rih,Shakhtar Donetsk,3,3,2.0,3.0,D
UKR1,26/08/2023,FK Oleksandriya,Polissya Zhytomyr,0,3,0.0,0.0,A
UKR1,26/08/2023,FC LNZ Cherkasy,Metalist 1925 Kharkiv,0,1,0.0,1.0,A
UKR1,27/08/2023,Kolos Kovalivka,Shakhtar Donetsk,0,2,0.0,2.0,A
UKR1,27/08/2023,FC Mynai,Zorya Lugansk,1,1,1.0,1.0,D
UKR1,27/08/2023,Vorskla Poltava,Chernomorets Odessa,2,1,2.0,0.0,H
UKR1,28/08/2023,FK Obolon,Kryvbas Kryvyi Rih,0,0,,,D
UKR1,01/09/2023,NK Veres,Chernomorets Odessa,3,1,2.0,1.0,H
UKR1,02/09/2023,Vorskla Poltava,FK Oleksandriya,1,0,1.0,0.0,H
UKR1,02/09/2023,FC Mynai,Shakhtar Donetsk,1,4,0.0,1.0,A
UKR1,02/09/2023,Polissya Zhytomyr,FK Obolon,2,0,0.0,0.0,H
UKR1,03/09/2023,Rukh Lviv,Metalist 1925 Kharkiv,1,1,1.0,1.0,D
UKR1,03/09/2023,Kolos Kovalivka,Kryvbas Kryvyi Rih,0,3,0.0,1.0,A
