Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
ZA1,14/09/2024,Marumo Gallants,Kaizer Chiefs,1,2,1.0,1.0,A
ZA1,14/09/2024,Polokwane City FC,AmaZulu FC,2,1,1.0,1.0,H
ZA1,15/09/2024,Richards Bay FC,TS Galaxy,1,0,1.0,0.0,H
ZA1,17/09/2024,Mamelodi Sundowns,SuperSport United,2,0,0.0,0.0,H
ZA1,18/09/2024,Orlando Pirates,Chippa United,2,1,1.0,1.0,H
ZA1,18/09/2024,Sekhukhune United,Magesi FC,1,0,1.0,0.0,H
ZA1,18/09/2024,Stellenbosch FC,Golden Arrows,0,2,0.0,0.0,A
ZA1,21/09/2024,Magesi FC,Polokwane City FC,0,2,0.0,1.0,A
ZA1,21/09/2024,Chippa United,Richards Bay FC,1,0,1.0,0.0,H
ZA1,21/09/2024,Golden Arrows,Marumo Gallants,2,0,2.0,0.0,H
ZA1,24/09/2024,Orlando Pirates,Polokwane City FC,3,0,0.0,0.0,H
ZA1,24/09/2024,Mamelodi Sundowns,Marumo Gallants,4,1,2.0,0.0,H
ZA1,25/09/2024,Stellenbosch FC,Cape Town City FC,3,0,1.0,0.0,H
ZA1,25/09/2024,AmaZulu FC,Kaizer Chiefs,1,3,0.0,3.0,A
ZA1,25/09/2024,Sekhukhune United,Chippa United,1,1,0.0,1.0,D
ZA1,25/09/2024,SuperSport United,TS Galaxy,1,0,0.0,0.0,H
ZA1,26/09/2024,Golden Arrows,Magesi FC,0,1,0.0,0.0,A
ZA1,28/09/2024,Marumo Gallants,AmaZulu FC,1,0,1.0,0.0,H
ZA1,28/09/2024,Kaizer Chiefs,Mamelodi Sundowns,1,2,1.0,2.0,A
ZA1,28/09/2024,Sekhukhune United,Golden Arrows,2,0,1.0,0.0,H
ZA1,28/09/2024,Cape Town City FC,SuperSport United,1,0,1.0,0.0,H
ZA1,29/09/2024,Richards Bay FC,Orlando Pirates,0,1,0.0,0.0,A
ZA1,29/09/2024,Chippa United,TS Galaxy,2,1,1.0,1.0,H
ZA1,29/09/2024,Polokwane City FC,Stellenbosch FC,1,1,1.0,1.0,D
ZA1,22/10/2024,Orlando Pirates,SuperSport United,2,0,1.0,0.0,H
ZA1,23/10/2024,Chippa United,Stellenbosch FC,0,2,0.0,2.0,A
ZA1,25/10/2024,Orlando Pirates,AmaZulu FC,2,1,2.0,0.0,H
ZA1,26/10/2024,Chippa United,Golden Arrows,2,0,1.0,0.0,H
ZA1,26/10/2024,Richards Bay FC,Stellenbosch FC,0,0,,,D
ZA1,26/10/2024,Marumo Gallants,TS Galaxy,1,1,0.0,0.0,D
ZA1,26/10/2024,SuperSport United,Kaizer Chiefs,1,0,1.0,0.0,H
ZA1,27/10/2024,Cape Town City FC,Magesi FC,0,0,,,D
ZA1,27/10/2024,Polokwane City FC,Mamelodi Sundowns,1,0,0.0,0.0,H
ZA1,29/10/2024,AmaZulu FC,Chippa United,2,0,2.0,0.0,H
