Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
ZM1,18/08/2023,Nkwazi,Konkola Blades,1,0,,,H
ZM1,19/08/2023,NAPSA Stars,ZESCO United,0,1,,,A
ZM1,19/08/2023,Nkana,Red Arrows,0,1,,,A
ZM1,19/08/2023,Green Eagles,Mutondo Stars,0,0,,,D
ZM1,19/08/2023,Trident,Kansanshi Dynamos,1,1,,,D
ZM1,20/08/2023,Forest Rangers,Kabwe Warriors,1,0,,,H
ZM1,20/08/2023,Mufulira Wanderers,Green Buffaloes,1,0,,,H
ZM1,26/08/2023,Zanaco,Forest Rangers,1,1,,,D
ZM1,26/08/2023,Green Buffaloes,NAPSA Stars,2,1,,,H
ZM1,26/08/2023,Kabwe Warriors,Trident,2,1,,,H
ZM1,26/08/2023,Konkola Blades,Green Eagles,0,0,,,D
ZM1,26/08/2023,Kansanshi Dynamos,Mufulira Wanderers,0,0,,,D
ZM1,27/08/2023,Mutondo Stars,Nkana,1,0,,,H
ZM1,27/08/2023,ZESCO United,Prison Leopards,1,1,,,D
ZM1,30/08/2023,FC MUZA,Zanaco,1,1,,,D
ZM1,30/08/2023,Prison Leopards,Power Dynamos,0,0,,,D
ZM1,02/09/2023,NAPSA Stars,Kansanshi Dynamos,0,0,,,D
ZM1,02/09/2023,Green Eagles,Nkana,1,0,,,H
ZM1,02/09/2023,Konkola Blades,Power Dynamos,0,0,,,D
ZM1,02/09/2023,Nkwazi,ZESCO United,1,0,,,H
ZM1,02/09/2023,Trident,Zanaco,0,2,,,A
ZM1,02/09/2023,Mufulira Wanderers,Kabwe Warriors,2,2,,,D
ZM1,02/09/2023,FC MUZA,Mutondo Stars,2,0,,,H
ZM1,03/09/2023,Prison Leopards,Green Buffaloes,1,0,,,H
ZM1,03/09/2023,Forest Rangers,Red Arrows,0,0,,,D
ZM1,09/09/2023,Red Arrows,FC MUZA,1,1,,,D
ZM1,09/09/2023,Power Dynamos,Nkwazi,2,1,,,H
ZM1,16/09/2023,Red Arrows,Trident,2,0,,,H
ZM1,16/09/2023,Green Buffaloes,Nkwazi,0,0,,,D
ZM1,16/09/2023,Zanaco,Mufulira Wanderers,1,0,,,H
ZM1,17/09/2023,Kabwe Warriors,NAPSA Stars,1,1,,,D
ZM1,17/09/2023,Kansanshi Dynamos,Prison Leopards,2,1,,,H
ZM1,17/09/2023,Mutondo Stars,Forest Rangers,3,2,,,H
ZM1,17/09/2023,ZESCO United,Konkola Blades,3,0,,,H
ZM1,20/09/2023,Power Dynamos,Green Eagles,2,0,,,H
ZM1,20/09/2023,Nkana,FC MUZA,1,1,,,D
ZM1,23/09/2023,Prison Leopards,Kabwe Warriors,1,2,,,A
ZM1,23/09/2023,Trident,Mutondo Stars,0,0,,,D
ZM1,23/09/2023,NAPSA Stars,Zanaco,3,0,,,H
ZM1,23/09/2023,Nkwazi,Kansanshi Dynamos,0,0,,,D
ZM1,23/09/2023,Konkola Blades,Green Buffaloes,1,1,,,D
ZM1,23/09/2023,Forest Rangers,Nkana,1,0,,,H
ZM1,23/09/2023,Mufulira Wanderers,Red Arrows,1,0,,,H
ZM1,24/09/2023,Green Eagles,FC MUZA,0,4,,,A
ZM1,24/09/2023,Power Dynamos,ZESCO United,2,2,,,D
ZM1,30/09/2023,Mutondo Stars,Mufulira Wanderers,2,1,,,H
ZM1,30/09/2023,Red Arrows,NAPSA Stars,1,0,,,H
ZM1,30/09/2023,Zanaco,Prison Leopards,0,0,,,D
ZM1,30/09/2023,ZESCO United,Green Eagles,3,2,,,H
ZM1,01/10/2023,Kabwe Warriors,Nkwazi,1,1,,,D
ZM1,01/10/2023,Nkana,Trident,0,0,,,D
ZM1,01/10/2023,Kansanshi Dynamos,Konkola Blades,0,1,,,A
ZM1,07/10/2023,Prison Leopards,Red Arrows,1,2,,,A
ZM1,07/10/2023,ZESCO United,Green Buffaloes,1,0,,,H
ZM1,07/10/2023,Mufulira Wanderers,Nkana,2,1,,,H
ZM1,07/10/2023,Trident,FC MUZA,0,1,,,A
ZM1,07/10/2023,Konkola Blades,Kabwe Warriors,0,2,,,A
ZM1,08/10/2023,Power Dynamos,Kansanshi Dynamos,3,1,,,H
ZM1,08/10/2023,Green Eagles,Forest Rangers,2,1,,,H
ZM1,08/10/2023,NAPSA Stars,Mutondo Stars,3,2,,,H
ZM1,08/10/2023,Nkwazi,Zanaco,1,1,,,D
ZM1,14/10/2023,Green Buffaloes,Power Dynamos,3,1,,,H
ZM1,14/10/2023,FC MUZA,Forest Rangers,2,2,,,D
ZM1,20/10/2023,Green Buffaloes,Green Eagles,2,0,,,H
ZM1,21/10/2023,Mutondo Stars,Prison Leopards,3,2,,,H
ZM1,21/10/2023,Nkana,NAPSA Stars,1,1,,,D
ZM1,21/10/2023,Red Arrows,Nkwazi,4,0,,,H
ZM1,21/10/2023,Forest Rangers,Trident,1,1,,,D
ZM1,21/10/2023,Zanaco,Konkola Blades,3,0,,,H
ZM1,21/10/2023,FC MUZA,Mufulira Wanderers,1,0,,,H
ZM1,22/10/2023,Kansanshi Dynamos,ZESCO United,1,1,,,D
ZM1,22/10/2023,Kabwe Warriors,Power Dynamos,2,0,,,H
ZM1,28/10/2023,ZESCO United,Kabwe Warriors,1,2,,,A
ZM1,28/10/2023,Nkwazi,Mutondo Stars,2,0,,,H
ZM1,28/10/2023,Green Eagles,Trident,2,2,,,D
ZM1,28/10/2023,Prison Leopards,Nkana,0,1,,,A
ZM1,28/10/2023,Konkola Blades,Red Arrows,1,1,,,D
ZM1,28/10/2023,Mufulira Wanderers,Forest Rangers,1,1,,,D
ZM1,28/10/2023,NAPSA Stars,FC MUZA,1,1,,,D
ZM1,29/10/2023,Green Buffaloes,Kansanshi Dynamos,1,1,,,D
ZM1,29/10/2023,Power Dynamos,Zanaco,1,1,,,D
ZM1,04/11/2023,Red Arrows,Power Dynamos,1,1,,,D
ZM1,04/11/2023,Kabwe Warriors,Green Buffaloes,3,0,,,H
ZM1,04/11/2023,Zanaco,ZESCO United,1,1,,,D
ZM1,04/11/2023,Trident,Mufulira Wanderers,1,2,,,A
ZM1,04/11/2023,FC MUZA,Prison Leopards,2,0,,,H
ZM1,04/11/2023,Forest Rangers,NAPSA Stars,1,0,,,H
ZM1,04/11/2023,Mutondo Stars,Konkola Blades,0,1,,,A
ZM1,05/11/2023,Kansanshi Dynamos,Green Eagles,0,2,,,A
ZM1,05/11/2023,Nkana,Nkwazi,1,3,,,A
ZM1,08/11/2023,Power Dynamos,Mutondo Stars,2,0,,,H
ZM1,08/11/2023,Konkola Blades,Nkana,1,2,,,A
ZM1,08/11/2023,ZESCO United,Red Arrows,1,0,,,H
