Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
TZ1,01/09/2026,Singida Black Stars FC,Namungo FC,3,2,,
TZ1,04/09/2026,TRA United SC,Mbeya City FC,0,0,,
TZ1,04/09/2026,Dodoma Jiji FC,Mashujaa FC,1,0,,
TZ1,05/09/2026,JKT Tanzania FC,Pamba Jiji FC,3,0,,
TZ1,06/09/2026,Polisi Tanzania,Coastal Union FC,1,2,,
TZ1,07/09/2026,Azam FC,Namungo FC,2,0,,
TZ1,09/09/2026,Mashujaa FC,Singida Black Stars FC,2,1,,
TZ1,11/09/2026,Dodoma Jiji FC,Namungo FC,1,0,,
TZ1,12/09/2026,Coastal Union FC,JKT Tanzania FC,2,1,,
TZ1,12/09/2026,Polisi Tanzania,Mbeya City FC,2,0,,
